timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src
346357,51.46,0.134,G,-9994.70,25736.04,47.73118973,-122.63289642,G
347406,50.96,0.113,G,-9993.55,25736.04,47.73118973,-122.63288116,G
348444,51.12,0.093,G,-9993.55,25736.04,47.73118973,-122.63288116,G
349496,51.00,0.062,G,-9993.55,25736.04,47.73118973,-122.63288116,G
350529,51.24,0.108,G,-9993.55,25736.04,47.73118973,-122.63288116,G
351577,50.93,0.098,G,-9993.55,25736.04,47.73118973,-122.63288116,G
352618,50.71,0.118,G,-9993.55,25736.04,47.73118973,-122.63288116,G
353661,50.72,0.149,G,-9993.55,25736.04,47.73118973,-122.63288116,G
354705,51.13,0.144,G,-9993.55,25736.04,47.73118973,-122.63288116,G
355743,51.56,0.144,G,-9993.55,25736.47,47.73119354,-122.63288116,G
356786,51.58,0.139,G,-9993.55,25736.46,47.73119354,-122.63288116,G
357835,51.87,0.000,F,-9993.51,25736.47,47.73119354,-122.63288116,E
358889,51.39,0.000,F,-9993.51,25736.47,47.73119354,-122.63288116,E
359938,51.49,0.000,F,-9993.51,25736.47,47.73119354,-122.63288116,E
360978,51.92,0.062,G,-9993.49,25736.47,47.73119354,-122.63288116,E
362023,52.27,0.000,F,-9993.43,25736.47,47.73119354,-122.63288116,E
363071,51.54,0.057,G,-9993.42,25736.47,47.73119354,-122.63288116,E
364114,51.20,0.087,G,-9993.39,25736.47,47.73119354,-122.63288116,E
365172,51.05,0.000,F,-9993.30,25736.47,47.73119354,-122.63288116,E
366229,50.98,0.082,G,-9993.24,25736.47,47.73119354,-122.63287354,E
367262,50.42,0.180,G,-9993.10,25736.59,47.73119354,-122.63287354,E
368309,50.57,0.165,G,-9992.98,25736.77,47.73119736,-122.63287354,E
369354,50.76,0.201,G,-9992.82,25736.95,47.73119736,-122.63287354,E
370401,51.37,0.118,G,-9992.69,25737.04,47.73119736,-122.63286591,E
371443,50.58,0.000,F,-9992.67,25737.04,47.73119736,-122.63286591,E
372495,50.84,0.000,F,-9992.67,25737.04,47.73119736,-122.63286591,E
373541,50.83,0.000,F,-9992.67,25737.04,47.73119736,-122.63286591,E
374575,50.90,0.093,G,-9992.58,25737.04,47.73119736,-122.63286591,E
375628,51.12,0.000,F,-9992.49,25737.06,47.73119736,-122.63286591,E
376668,51.36,0.118,G,-9992.48,25737.06,47.73119736,-122.63286591,E
377718,51.39,0.098,G,-9992.39,25737.09,47.73119736,-122.63286591,E
378751,50.95,0.067,G,-9992.30,25737.09,47.73119736,-122.63286591,E
379807,51.04,0.000,F,-9992.21,25737.09,47.73119736,-122.63286591,E
380845,51.08,0.062,G,-9992.19,25737.09,47.73119736,-122.63286591,E
381892,51.10,0.000,F,-9992.13,25737.09,47.73119736,-122.63286591,E
382936,51.02,0.057,G,-9992.13,25737.09,47.73119736,-122.63286591,E
383973,51.29,0.000,F,-9992.12,25737.09,47.73119736,-122.63286591,E
385019,51.32,0.093,G,-9992.10,25737.09,47.73119736,-122.63285828,E
386063,51.26,0.216,G,-9991.97,25737.17,47.73120117,-122.63285828,E
387093,51.40,0.201,G,-9991.79,25737.35,47.73120117,-122.63285828,E
388134,51.75,0.231,G,-9991.60,25737.53,47.73120117,-122.63285828,E
389167,51.87,0.144,G,-9991.46,25737.69,47.73120499,-122.63285065,E
390221,52.10,0.144,G,-9991.36,25737.75,47.73120499,-122.63285065,E
391257,51.40,0.170,G,-9991.23,25737.88,47.73120499,-122.63285065,E
392308,76.27,0.000,F,-9991.20,25737.93,47.73120499,-122.63285065,E
393345,118.18,0.103,G,-9991.12,25737.93,47.73120499,-122.63285065,E
394379,130.63,0.350,G,-9990.89,25737.78,47.73120499,-122.63284302,E
395413,120.92,0.242,G,-9990.66,25737.59,47.73120499,-122.63284302,E
396445,126.01,0.165,G,-9990.50,25737.52,47.73120117,-122.63284302,E
397485,107.25,0.571,G,-9990.01,25737.30,47.73120117,-122.63283539,E
398523,104.13,0.782,G,-9989.22,25737.11,47.73120117,-122.63282013,E
399560,106.97,0.900,G,-9988.30,25736.96,47.73119736,-122.63281250,E
400619,118.87,0.875,G,-9987.38,25736.57,47.73119354,-122.63279724,E
401652,89.08,0.998,G,-9986.50,25736.43,47.73119354,-122.63278961,E
402698,84.70,1.281,G,-9985.44,25736.50,47.73119354,-122.63277435,E
403736,84.34,1.296,G,-9984.14,25736.69,47.73119736,-122.63275909,E
404777,85.21,1.296,G,-9982.78,25736.80,47.73119736,-122.63273621,E
405820,81.12,1.440,G,-9981.35,25736.99,47.73119736,-122.63272095,E
406858,63.27,1.214,G,-9980.01,25737.46,47.73120117,-122.63269806,E
407895,51.42,1.538,G,-9978.92,25738.24,47.73120880,-122.63268280,E
408927,51.43,1.564,G,-9977.63,25739.18,47.73121643,-122.63266754,E
409979,50.36,1.296,G,-9976.37,25740.13,47.73122787,-122.63265228,E
411020,50.82,1.255,G,-9975.37,25740.99,47.73123550,-122.63263702,E
412054,52.49,1.389,G,-9974.30,25741.82,47.73124313,-122.63262177,E
413095,52.03,1.322,G,-9973.15,25742.64,47.73125076,-122.63260651,E
414140,43.31,1.415,G,-9972.10,25743.65,47.73125839,-122.63259888,E
415174,41.97,1.374,G,-9971.12,25744.73,47.73126602,-122.63258362,E
416215,44.80,1.363,G,-9970.14,25745.76,47.73127747,-122.63256836,E
417247,47.47,1.276,G,-9969.16,25746.69,47.73128510,-122.63255310,E
418279,43.55,1.209,G,-9968.25,25747.60,47.73129272,-122.63254547,E
419325,45.75,1.286,G,-9967.28,25748.52,47.73130035,-122.63253021,E
420382,44.30,1.554,G,-9966.22,25749.49,47.73131180,-122.63251495,E
421424,44.27,1.512,G,-9965.08,25750.60,47.73131943,-122.63249969,E
422463,44.40,1.291,G,-9964.08,25751.62,47.73133087,-122.63249207,E
423510,44.79,1.410,G,-9963.09,25752.66,47.73133850,-122.63247681,E
424558,48.93,1.466,G,-9962.00,25753.71,47.73134995,-122.63246155,E
425599,45.87,1.554,G,-9960.84,25754.74,47.73135757,-122.63244629,E
426634,45.12,1.492,G,-9959.70,25755.82,47.73136902,-122.63243103,E
427674,43.67,1.446,G,-9958.67,25756.92,47.73137665,-122.63241577,E
428715,45.77,1.399,G,-9957.64,25757.99,47.73138809,-122.63240051,E
429753,48.78,1.363,G,-9956.62,25758.93,47.73139572,-122.63239288,E
430802,47.50,1.389,G,-9955.56,25759.88,47.73140335,-122.63237762,E
431841,45.78,1.281,G,-9954.59,25760.81,47.73141098,-122.63236237,E
432887,49.31,1.296,G,-9953.61,25761.74,47.73142242,-122.63234711,E
433922,45.89,1.379,G,-9952.64,25762.66,47.73143005,-122.63233948,E
434971,44.39,1.379,G,-9951.61,25763.65,47.73143768,-122.63232422,E
436018,41.37,1.466,G,-9950.51,25764.75,47.73144913,-122.63230896,E
437062,39.32,1.451,G,-9949.51,25765.87,47.73145676,-122.63229370,E
438136,44.90,1.363,G,-9948.38,25766.88,47.73146820,-122.63227844,E
439178,40.43,1.358,G,-9947.40,25767.91,47.73147583,-122.63227081,E
440231,37.16,1.430,G,-9946.48,25769.02,47.73148727,-122.63225555,E
441272,34.28,1.260,G,-9945.63,25770.15,47.73149490,-122.63224030,E
442324,34.54,1.188,G,-9944.91,25771.25,47.73150635,-122.63223267,E
443369,35.72,1.024,G,-9944.21,25772.18,47.73151398,-122.63222504,E
444410,40.00,1.116,G,-9943.53,25773.10,47.73152161,-122.63221741,E
445469,48.83,1.389,G,-9942.67,25774.02,47.73152924,-122.63220215,E
446519,52.55,1.456,G,-9941.55,25775.03,47.73154068,-122.63218689,E
447562,50.65,1.440,G,-9940.39,25775.96,47.73154831,-122.63217163,E
448611,64.96,1.029,G,-9939.36,25776.59,47.73155212,-122.63216400,E
449653,70.97,1.348,G,-9938.12,25777.03,47.73155975,-122.63214111,E
450693,87.64,1.584,G,-9936.58,25777.24,47.73155975,-122.63212585,E
451737,114.83,1.492,G,-9935.05,25776.93,47.73155594,-122.63210297,E
452767,116.48,1.569,G,-9933.56,25776.32,47.73155212,-122.63208008,E
453815,120.32,1.631,G,-9932.07,25775.55,47.73154449,-122.63206482,E
454857,119.24,1.260,G,-9930.92,25774.87,47.73153687,-122.63204956,E
455908,120.81,1.518,G,-9929.61,25774.12,47.73153305,-122.63203430,E
456951,122.19,1.590,G,-9928.24,25773.34,47.73152542,-122.63201141,E
457991,117.96,1.466,G,-9926.82,25772.54,47.73151779,-122.63199615,E
459035,117.86,1.538,G,-9925.45,25771.84,47.73151016,-122.63197327,E
460074,115.30,1.538,G,-9924.04,25771.09,47.73150635,-122.63195801,E
461105,116.10,1.775,G,-9922.60,25770.34,47.73149872,-122.63193512,E
462147,118.23,1.775,G,-9921.00,25769.43,47.73149109,-122.63191986,E
463188,114.97,1.564,G,-9919.40,25768.60,47.73148346,-122.63189697,E
464215,113.24,1.512,G,-9917.97,25767.92,47.73147583,-122.63187408,E
