mx,my,mz
1249,-2044,9575
1249,-2044,9575
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1222,-2063,9548
1218,-2068,9545
1218,-2068,9545
1218,-2068,9545
1218,-2068,9545
1221,-2046,9582
1221,-2046,9582
1221,-2046,9582
1221,-2046,9582
1221,-2046,9582
1221,-2046,9582
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
1220,-2052,9592
241,-1945,9246
241,-1945,9246
241,-1945,9246
241,-1945,9246
219,-2026,9305
219,-2026,9305
219,-2026,9305
219,-2026,9305
219,-2026,9305
219,-2026,9305
219,-2026,9305
201,-2188,9333
201,-2188,9333
201,-2188,9333
201,-2188,9333
-144,-3595,9318
-144,-3595,9318
-144,-3595,9318
-144,-3595,9318
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-143,-3618,9341
-156,-3679,9326
1985,-4169,9554
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1909,-4177,9535
1871,-4207,9540
1871,-4207,9540
1871,-4207,9540
1871,-4207,9540
1871,-4207,9540
1871,-4207,9540
1419,-4422,9488
1419,-4422,9488
1419,-4422,9488
1419,-4422,9488
1419,-4422,9488
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1373,-4448,9456
1260,-4460,9430
1271,-4548,9461
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1169,-4559,9427
1087,-4549,9342
1087,-4549,9342
