mx,my,mz
-173,-2263,9572
-147,-2265,9507
-124,-2299,9494
-148,-2273,9568
-157,-2237,9609
-143,-2241,9491
-175,-2260,9501
-175,-2260,9489
-189,-2278,9489
-187,-2279,9496
-209,-2263,9473
-236,-2242,9499
-264,-2225,9487
-255,-2227,9467
-265,-2219,9440
-148,-2382,9482
-67,-2355,9503
-25,-2428,9514
-220,-2392,9413
-380,-2481,9343
-415,-2590,9355
-468,-2506,9313
-369,-2183,9334
-211,-2010,9337
-27,-1858,9392
286,-1756,9465
498,-1785,9503
537,-1810,9524
-591,-2649,9264
-640,-2658,9229
-1450,-2562,8457
-1639,-2468,8198
-1788,-2520,7944
-1927,-2582,7679
-1990,-2594,7517
-1975,-2642,7653
-1916,-2609,7675
-1881,-2552,7665
-1908,-2527,7780
-1800,-2473,7813
-1783,-2414,7897
-1731,-2449,8024
-1731,-2449,8024
-1779,-2388,7848
-1875,-2381,7773
-1875,-2381,7773
-1904,-2457,7610
-2100,-2445,7284
-2133,-2419,7066
-2092,-2420,7094
-2130,-2382,7027
-2159,-2382,6840
-2156,-2335,6642
-2156,-2335,6642
-2147,-2298,6338
-2136,-2263,6287
-2123,-2318,6556
-2123,-2318,6556
-2112,-2391,6896
-2038,-2415,7201
-2141,-2473,6767
-2176,-2457,6536
-2153,-2421,6354
-2104,-2394,6328
-2119,-2407,6625
-2119,-2407,6625
-2090,-2407,7036
-1949,-2340,7436
-1769,-2340,7928
-2170,-2399,6749
-2204,-2418,6420
-2104,-2401,6041
-2053,-2347,5616
-1959,-2411,5223
-1959,-2411,5223
-1668,-2558,4707
-1668,-2558,4707
-1668,-2558,4707
-1668,-2558,4707
-1376,-2658,4339
-1219,-2624,4184
-1250,-2628,4202
-1321,-2608,4366
-1464,-2619,4458
-1524,-2611,4526
-1651,-2538,4740
-1651,-2538,4740
-1651,-2538,4740
-1820,-2425,5029
-1820,-2425,5029
-1997,-2369,5495
-1997,-2369,5495
-2107,-2302,5943
-2012,-2329,5496
-1871,-2364,5133
-1871,-2364,5133
-1671,-2341,4793
-1671,-2341,4793
-1493,-2354,4483
-1172,-2358,4185
-1172,-2358,4185
-829,-2387,3878
-350,-2495,3587
-350,-2495,3587
67,-2478,3393
204,-2476,3357
206,-2524,3360
1,-2604,3423
-385,-2591,3570
-385,-2591,3570
-724,-2562,3808
-1077,-2549,4063
-1444,-2508,4466
-1444,-2508,4466
-1738,-2457,4968
-1738,-2457,4968
-1738,-2457,4968
-2014,-2447,5554
-1980,-2402,5381
-1753,-2467,4990
-1753,-2467,4990
-1753,-2467,4990
-1540,-2536,4593
-1540,-2536,4593
-1290,-2652,4239
-1290,-2652,4239
-1007,-2739,3985
-733,-2760,3780
-439,-2772,3561
-439,-2772,3561
-277,-2750,3494
-48,-2811,3366
302,-2816,3297
696,-2761,3161
1026,-2741,3097
1171,-2710,3130
1295,-2772,3125
1071,-2706,3124
-557,-1889,3804
-713,-1675,4074
47,-2234,3487
149,-2474,3385
304,-2677,3254
285,-2836,3301
186,-3033,3325
84,-3283,3406
-42,-3506,3381
-133,-3576,3515
-201,-3751,3459
-233,-3879,3548
-380,-3989,3642
-532,-4088,3774
-576,-4122,3845
-681,-4200,3917
-808,-4203,4023
-930,-4218,4143
-1048,-4216,4251
-1165,-4206,4311
-1270,-4134,4427
-1432,-4009,4526
-1528,-3911,4623
-1709,-3812,4757
-1749,-3606,4898
-1853,-3459,4976
-1890,-3342,4951
-1912,-3207,5023
-1908,-3162,5025
-1906,-3023,5061
-1957,-2944,5063
-1950,-2812,5116
-1667,-1918,4876
-1521,-1770,4850
-1410,-1723,4770
-1334,-1571,4703
-1226,-1506,4636
-1083,-1449,4478
-948,-1462,4361
-891,-1545,4311
-1556,-1543,5220
-1815,-1555,5867
-1921,-1631,6549
-1921,-1631,6549
-1921,-1631,6549
-1819,-1552,7246
-1691,-1519,7413
-1691,-1519,7413
-1691,-1519,7413
-1876,-1554,6476
-1876,-1554,6476
-1797,-1562,5648
-323,-1560,3873
-200,-1513,3801
-1288,-1516,4749
-1520,-1584,5079
-1520,-1584,5079
-1704,-1555,5563
-1815,-1538,6288
-1815,-1538,6288
-1815,-1538,6288
-1815,-1538,6288
-1800,-1531,6972
-1781,-1522,7137
-1884,-1633,6453
-1884,-1633,6453
-1884,-1633,6453
-1884,-1633,6453
-1818,-1674,5773
-1677,-1822,5133
-1677,-1822,5133
-1796,-1806,5469
1086,-2382,3198
1312,-2381,3140
-1783,-2208,5087
-2001,-1999,5786
-2028,-1930,5937
-2074,-2782,5500
-2135,-2806,5667
-2135,-2806,5292
-2008,-2921,5292
-2116,-3869,6087
-2138,-3777,6768
-2138,-3792,6772
-2109,-3792,6772
-2086,-3923,6128
364,-4176,3399
653,-4166,3340
654,-4110,3373
-1390,-4143,4573
500,-4292,3427
468,-4259,3393
-1140,-4188,4352
-366,-3960,3644
-1319,-3878,8610
-770,-3866,9118
-81,-3832,9497
521,-3806,9714
521,-3806,9714
1214,-3784,9811
1969,-3702,9800
2387,-3704,9708
2263,-3700,9775
-1069,-3603,4035
-722,-3552,3813
-427,-3433,3592
-370,-3412,3591
-751,-3384,3814
-1109,-3040,4014
-739,-3018,3772
-503,-3050,3617
-658,-3008,3651
-1149,-2985,4085
-530,-3578,9325
-113,-3552,9550
366,-3462,9730
853,-3362,9863
853,-3362,9863
1337,-3448,9857
1697,-3478,9832
2020,-3326,9797
2337,-3229,9735
2556,-3149,9739
2643,-3156,9740
2366,-3215,9790
-1605,-2962,8370
-1191,-2982,8904
-590,-2931,9319
-590,-2931,9319
-4,-2893,9611
587,-2850,9798
1046,-2778,9879
1046,-2778,9879
1606,-2663,9873
-961,-3133,9052
-263,-3253,9508
477,-3297,9730
1137,-3208,9833
-730,-2211,9060
-1505,-2223,8383
-1471,-1747,8083
-1471,-1747,7779
-1646,-1738,7779
-1811,-1734,7295
333,-1719,3542
1017,-1685,3358
1663,-1671,3389
2121,-1635,3483
2221,-1579,3492
1898,-1557,3492
1123,-1534,3507
-2028,-2161,6193
-1928,-2177,5450
-1928,-2177,5450
-1928,-2177,5450
909,-2239,3280
1475,-2214,3219
2291,-2290,3346
-1846,-1994,5536
-1799,-1940,5265
-1588,-1935,4965
-1367,-1942,4640
-1095,-1972,4335
-1095,-1882,4063
-772,-1882,4063
-772,-1882,4063
-364,-1780,3815
158,-1735,3583
629,-1721,3466
629,-1721,3466
1103,-1720,3401
1554,-1733,3416
1554,-1743,3454
2007,-1743,3454
2304,-1708,3509
2267,-1645,3498
2267,-1645,3516
2148,-1626,3516
2143,-1610,3553
2124,-1610,3537
-1587,-1129,6230
-1722,-1369,6158
-1722,-1369,6158
-2029,-2001,6216
-2029,-2001,6216
-2029,-2001,6216
-2214,-2811,6731
-2080,-2060,6343
-2080,-2060,6343
-1855,-1859,5563
-1855,-1859,5563
-1474,-1713,4969
-1741,-2811,4816
-1741,-2811,4816
-1741,-2811,4816
-2064,-2915,5409
-2064,-2915,5409
-2001,-4186,6189
-1922,-4399,6702
-1769,-4521,7286
-1366,-4667,7964
-883,-4699,8487
-1872,-3165,7977
-1872,-3165,7977
-1550,-1732,7930
-1425,-1719,8104
-1425,-1719,8104
-1123,-1590,8423
-2046,-1955,6393
