mx,my,mz
1240,3219,9666
1256,3226,9698
1205,3230,9676
1253,3230,9683
1248,3218,9687
1238,3176,9628
1237,3185,9682
1235,3168,9681
1266,3195,9668
1215,3204,9698
1228,3148,9712
1180,3227,9644
1018,3667,9583
847,3773,9537
786,3283,9607
843,1979,9542
824,1814,9487
864,1594,9454
641,1641,9403
491,1808,9425
445,1847,9450
317,1874,9371
294,1966,9367
236,1942,9376
722,1825,9407
722,1807,9487
886,1807,9487
983,1894,9467
1099,1905,9531
1232,1888,9574
1402,1885,9553
1493,1979,9558
1679,2077,9600
1781,2139,9596
1867,2168,9634
1867,2297,9627
1958,2375,9679
1958,2398,9634
2048,2398,9634
1838,2167,9603
1712,2085,9551
1562,2066,9559
1509,2021,9576
1378,1985,9564
1200,2053,9556
-70,2189,9299
-122,2147,9248
-225,2082,9218
-579,2172,9001
-531,2133,9028
-402,2030,9061
-557,2067,9000
-778,2116,8861
-966,2164,8710
-1113,2125,8593
-1212,2152,8470
-1331,2201,8328
-1447,2264,8220
-1407,2225,8207
-1407,2225,8207
-1569,2189,7997
-1741,2212,7733
-1741,2212,7733
-1793,2250,7683
-1793,2250,7683
-1750,2268,7747
-1741,2190,7756
-1738,2196,7779
-1724,2139,7758
-1742,2116,7756
-1746,2223,7803
-1723,2311,7781
-1740,2346,7803
-1818,2427,7780
-1862,2499,7644
-1919,2503,7562
-1911,2470,7549
-1575,1969,7888
-1551,1957,7961
-1300,1795,8163
-1152,1692,8388
-976,1632,8458
-825,1600,8579
-813,1678,8643
-814,1695,8645
-914,1798,8620
-834,1829,8744
-609,1856,8942
-581,1869,8972
-708,1976,8936
-798,2019,8846
-875,2077,8841
-1123,2137,8639
-1188,2131,8575
-1294,2115,8392
-1351,2116,8386
-1402,2109,8378
-1449,2114,8258
-1425,2104,8261
-1451,2112,8285
-1426,2090,8284
-1329,2067,8389
-1360,2067,8417
-1235,2075,8506
-1182,2064,8537
-1136,2041,8616
-1081,2005,8694
-1091,1947,8583
-1361,1956,8361
-1424,1925,8246
-1424,1925,8183
-1445,1908,8183
-1571,1888,7956
-1623,1890,7812
-1615,1828,7869
-1471,1780,7994
-1391,1809,8165
-1579,1830,7794
-1579,1815,7632
-1714,1815,7632
-1722,1788,7557
-1742,1813,7468
-1742,1813,7400
-1773,1786,7400
-1723,1832,7535
-1864,1928,7333
-1911,1960,7189
-1946,2101,7071
-2028,2186,7073
-2247,3166,6712
-2228,3333,6229
-2228,3333,5827
-2106,3566,5827
-2124,3560,5778
-2099,3434,5610
3236,1729,8955
3815,1772,8488
4115,1873,8157
4305,1933,7915
4421,1993,7753
4479,1987,7586
4537,1944,7501
4564,1905,7375
4540,1840,7321
4540,1840,7321
4502,1821,7294
4494,1839,7379
4477,1917,7487
4457,1900,7465
4522,1932,7399
4457,1959,7592
4274,2047,7986
3886,2149,8538
4174,2058,8267
4494,2210,7785
4711,2206,7301
4792,2255,6977
4872,2311,6745
4840,2333,6652
-2052,2776,7260
-2052,2776,7260
-2139,2749,6634
-2139,2749,6634
-2075,2659,5862
-1777,2525,4927
-1251,2558,4150
-1078,2678,3994
-902,2774,3827
-804,2719,3740
-704,2672,3668
-704,2672,3668
-633,2701,3595
-537,2756,3584
-659,2793,3655
-888,2871,3799
-888,2871,3799
-1462,3041,4338
-1792,3020,4770
-1938,2941,5151
-1938,2941,5151
-2208,2897,6231
-2208,2897,6231
-2154,2939,7090
-2154,2939,7090
-2154,2939,7090
-1828,3029,7799
-1828,3029,7799
-1215,3219,8715
-1215,3219,8715
-1588,3012,8173
-1588,3012,8173
-2083,2951,7174
-2083,2951,7174
-2083,2951,7174
-2213,2861,6283
-2213,2861,6283
-2158,2858,5620
-2158,2858,5620
-1816,2804,4779
-1596,2687,4485
-1658,2658,4609
-1686,2596,4645
-2047,2818,5283
-2201,3026,5945
-2204,3010,6621
-2204,3010,6621
-2076,3046,7384
-2076,3046,7384
-2076,3046,7384
-2076,3046,7384
-1805,3639,7736
-1805,3639,7736
-1805,3639,7736
-2092,3541,7004
-2201,3468,6350
-2186,3474,5837
-2084,3372,5411
-2084,3372,5411
-1884,3289,4829
-1735,3284,4641
-1666,3359,4529
-1580,3489,4410
-1680,3549,4539
-1707,3604,4710
-2022,3885,5583
-2022,3885,5583
-2094,4012,6374
-2008,4087,6717
-2008,4087,6717
-1898,4210,7120
-1898,4210,7120
-1898,4210,7120
-1636,4487,7368
-1636,4487,7368
-1636,4487,7368
-1981,4234,6612
-1981,4234,6612
-1906,3909,5306
-1737,3847,4821
-1485,3797,4371
-1222,3984,4158
-1442,4300,4635
-1873,4530,6166
-1810,4572,6944
-1810,4572,6944
-1488,4990,6877
-1651,4880,6017
-1651,4880,6017
-1497,4875,5257
-1225,4900,4746
-1225,4900,4746
-1225,4900,4746
-870,4793,4329
-107,4515,3581
198,4408,3424
417,4390,3337
470,4406,3289
470,4406,3289
521,4384,3334
521,4384,3334
521,4384,3483
151,4469,3483
151,4469,3483
-1774,4739,6044
-1774,4739,6044
-1791,4722,6601
-1671,4920,6169
-1673,4858,5615
-1673,4858,5615
-1673,4858,5615
-1494,4687,4973
-1209,4135,4199
-1780,4199,5143
-1780,4199,5143
-1970,4209,5879
-1970,4209,5879
-1728,4262,4922
-1728,4262,4922
1108,3557,3018
1535,3757,2987
1814,3950,3085
1789,3937,3117
1464,3801,3048
1237,3628,3036
674,3550,3084
-948,3636,3834
-1565,3871,4474
-1898,4066,5211
-1898,4066,5211
-1898,4066,5211
-1898,4066,5211
-1898,4066,5211
-1791,4561,5534
-1791,4561,5534
