X,Y,Z
25,4330,9599
25,4330,9599
25,4330,9599
25,4330,9599
25,4330,9599
25,4330,9599
25,4330,9599
25,4330,9599
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
47,4298,9607
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
108,4326,9616
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
88,4335,9598
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
89,4336,9610
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
48,4331,9636
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
54,4335,9588
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
23,4325,9611
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
37,4310,9653
69,4330,9604
69,4330,9604
69,4330,9604
69,4330,9604
69,4330,9604
69,4330,9604
69,4330,9604
69,4330,9604
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
66,4310,9627
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
52,4303,9607
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
54,4290,9613
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
48,4285,9625
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
74,4324,9615
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
70,4318,9623
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
72,4300,9565
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
45,4333,9601
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
43,4321,9677
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
48,4303,9690
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
80,4367,9587
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
50,4325,9628
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
56,4370,9666
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
20,4337,9640
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
60,4326,9654
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
64,4311,9653
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
41,4316,9661
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
57,4288,9636
50,4313,9600
50,4313,9600
50,4313,9600
50,4313,9600
50,4313,9600
50,4313,9600
50,4313,9600
50,4313,9600
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
72,4353,9598
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
43,4285,9627
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
25,4370,9695
32,4288,9607
32,4288,9607
32,4288,9607
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
26,4306,9657
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
56,4293,9652
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
37,4358,9593
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
-2,4321,9596
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
13,4354,9626
81,4412,9550
81,4412,9550
81,4412,9550
81,4412,9550
81,4412,9550
81,4412,9550
81,4412,9550
81,4412,9550
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
56,4615,9509
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
175,5025,9193
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5282,8939
320,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
490,5596,8699
612,5693,8557
612,5693,8557
612,5693,8557
612,5693,8557
612,5693,8557
612,5693,8557
612,5693,8557
612,5693,8557
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
661,5732,8447
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
603,5693,8439
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
485,5467,8680
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
285,5148,8956
-4,4864,9030
-4,4864,9030
