mx,my,mz
622,4472,9593
642,4476,9579
621,4466,9601
649,4509,9601
623,4497,9586
637,4480,9571
618,4474,9566
628,4482,9539
628,4482,9536
560,4479,9536
637,4459,9581
610,4473,9565
604,4456,9604
604,4498,9598
592,4498,9598
321,3755,9790
321,3755,9739
285,3812,9739
255,4004,9720
262,4159,9675
190,4268,9564
163,4270,9593
123,4196,9618
52,4044,9654
-41,3973,9672
-113,3945,9615
-113,3875,9679
-170,3804,9652
-219,3721,9680
-219,3721,9680
-261,3728,9605
-281,3730,9628
-290,3726,9640
-310,3746,9578
-334,3741,9625
-424,3674,9665
-448,3618,9610
-413,3645,9631
-392,3597,9636
-327,3519,9636
-319,3660,9620
-230,3962,9616
-216,4046,9534
-189,3993,9558
59,3892,9628
-30,3131,9723
-169,3195,9698
-308,3261,9662
-455,3391,9638
-551,3357,9673
-578,3146,9645
-632,2843,9639
-792,2426,9558
-942,2238,9500
-913,2316,9503
-919,2405,9511
-965,2523,9521
-986,2607,9513
-971,2655,9477
-975,2720,9471
-570,2442,9594
-668,2398,9573
-818,2397,9503
-897,2454,9463
-938,2413,9471
-939,2353,9498
-893,2160,9427
-858,1966,9396
-907,1778,9354
-859,1653,9324
-867,1639,9279
-868,1602,9260
-876,1624,9283
-884,1662,9256
-873,1680,9316
3349,3572,9508
3651,3560,9359
3911,3473,9242
3911,3473,9242
4102,3581,9063
4102,3581,8982
4214,3652,8982
4353,3713,8795
4414,3782,8709
4414,3782,8709
4424,3824,8646
4356,3891,8660
4275,3946,8637
4300,4037,8544
4353,4102,8398
4361,4085,8428
4254,4007,8544
4185,3948,8718
4163,3926,8772
4144,3889,8817
4113,3848,8904
4112,3868,8877
4156,3926,8870
4155,4017,8788
4083,4121,8817
4035,4167,8789
3869,4247,8833
3701,4285,8902
3553,4278,9040
3428,4265,9125
3324,4199,9147
3256,4180,9244
3222,4199,9209
3238,4219,9242
3242,4230,9232
3242,4230,9232
3246,4175,9273
3280,4159,9241
3316,4114,9301
3310,4166,9195
3171,4224,9263
3146,4293,9246
3230,4355,9163
3326,4283,9134
3380,4128,9112
3284,3965,9332
3294,3888,9302
3429,3939,9224
3543,3838,9162
3574,3591,9260
3635,3409,9265
3712,3288,9257
3776,3309,9267
3837,3229,9271
3845,3190,9234
3831,3116,9237
3831,3116,9237
3807,3066,9294
3837,3033,9246
3861,2983,9240
3819,2898,9258
3836,2879,9214
3848,2767,9166
3859,2747,9156
3834,2779,9191
3869,2748,9248
3851,2764,9203
3843,2747,9223
3816,2730,9206
3753,2673,9273
3653,2642,9316
3516,2486,9352
3444,2337,9394
3385,2165,9471
3290,2116,9530
3230,2160,9553
3093,2239,9674
2905,2242,9724
2818,2236,9795
2220,2389,9969
2171,2336,9928
2146,2239,9951
2078,2222,9948
2029,2563,10010
2114,2804,10068
2154,2944,10014
2228,3220,9912
2294,3174,9882
2318,3275,9897
1998,4975,8886
2298,4879,8807
2642,4802,8778
2778,4734,8728
2797,4780,8677
2784,4871,8588
2561,5073,8576
2630,5022,8657
2732,4985,8577
2869,5035,8401
1966,5190,8885
2119,5216,8759
2271,5133,8789
2398,5011,8847
2619,4972,8873
2899,4934,8785
3124,4881,8641
3442,4761,8635
3648,4588,8657
3836,4494,8588
4022,4515,8440
4146,4472,8286
4146,4472,8286
4356,4384,8198
4555,4197,8021
4555,4197,8021
4717,4123,7803
4824,4023,7650
4922,3950,7608
4989,3847,7553
5039,3763,7430
5092,3652,7360
5168,3559,7468
5161,3417,7542
5161,3417,7542
5150,3266,7589
5193,3163,7610
5208,3031,7658
5227,2916,7618
5194,2800,7746
5155,2708,7847
5155,2697,7929
5098,2697,7929
5052,2681,7925
5022,2621,7975
5015,2587,7981
5015,2587,7981
4998,2562,7973
4982,2527,8044
4909,2485,8146
4893,2405,8190
4899,2243,8161
4912,2090,8107
4912,2090,8107
4850,2007,8198
4805,1979,8286
4777,1951,8345
4724,1977,8416
4640,1985,8548
4623,1906,8633
4488,1920,8728
4446,2009,8869
4403,1995,8895
4317,1958,8934
4203,1969,9003
4139,1880,9054
3941,1633,9171
3867,1615,9194
3999,1642,9126
4034,1706,9133
4097,1744,9061
4126,1796,9090
4194,1792,9000
4252,1875,9025
4256,1989,9033
4329,2046,9011
4549,2658,8729
4560,2704,8773
4536,2826,8762
4536,2826,8762
4483,2890,8871
4347,2964,9048
4192,3007,9164
4072,3030,9284
3969,3070,9323
3917,3123,9405
3975,3139,9388
4070,3059,9324
4273,3082,9160
4469,3146,8979
4621,3150,8891
4659,3120,8827
4659,3120,8827
4707,3011,8735
4707,3011,8735
4791,2904,8693
4871,2893,8661
4874,3008,8639
4964,3111,8588
5044,3188,8434
5089,3215,8277
5175,3275,8141
5155,3298,8101
5143,3251,8134
5070,3255,8242
5005,3259,8307
4925,3336,8371
4932,3464,8418
4890,3611,8376
4810,3733,8463
4678,3694,8663
4614,3608,8782
4635,3652,8811
4654,3694,8742
4654,3694,8691
4753,3734,8691
4769,3738,8596
4825,3675,8539
4892,3575,8464
4418,3482,9067
4268,3534,9252
4268,3529,9356
4075,3529,9356
3877,3459,9557
3650,3399,9759
3404,3363,9884
3219,3286,10025
3081,3178,10085
2973,3063,10159
2995,3077,10148
3060,3103,10115
2932,2193,10170
2875,2219,10149
2879,2206,10144
2860,2161,10182
2876,2196,10196
2860,2245,10163
2851,2254,10152
2897,2313,10158
2895,2289,10137
2870,2272,10165
2899,2298,10134
2888,2300,10157
2895,2246,10168
1101,2874,10187
891,2852,10152
749,2854,10133
679,3002,10113
577,3149,10048
609,3140,10038
598,3032,10074
601,2954,10093
623,2940,10129
627,2940,10051
674,2963,10109
699,2928,10136
732,2943,10116
789,2966,10133
725,3064,10123
651,3095,10100
512,3236,10029
386,3390,9984
317,3591,9941
323,3843,9846
307,3997,9776
216,4048,9745
122,4053,9705
36,4136,9615
-91,4262,9523
-233,4172,9490
-233,4172,9490
-307,4103,9433
-417,4074,9389
-452,4097,9381
-460,4120,9343
-499,4128,9326
-462,4181,9339
-457,4183,9334
-445,4192,9298
-458,4217,9368
-467,4206,9259
-560,4250,9227
-560,4322,9075
-641,4322,9075
-742,4485,8988
-963,4342,8857
-1038,4273,8750
-1100,4241,8685
-1229,4101,8607
-1336,4017,8581
-1421,3952,8417
-1455,3945,8372
-1472,3935,8285
-1471,3884,8290
-1509,3893,8318
-1447,3888,8363
-1468,3946,8370
-1416,3984,8429
-1384,4021,8483
-1303,4046,8547
-163,4329,9420
43,4284,9609
184,4243,9685
362,4228,9743
-1693,4092,7777
-1745,4100,7674
-1745,4069,7489
-1819,4069,7489
-1933,3958,7340
-1947,3869,7280
-2015,3731,7348
-2019,3567,7281
-1988,3434,7363
-2009,3316,7383
-2009,3316,7383
-2004,3227,7413
-2001,3155,7423
-1947,3089,7420
-2015,3063,7410
-2020,3016,7420
-2000,2975,7401
-2017,2936,7409
-2017,2936,7409
-2018,2884,7426
-2018,2817,7425
-2023,2817,7425
-2012,2730,7438
-1960,2624,7460
-1951,2539,7470
-1933,2488,7473
-1953,2462,7494
-1953,2462,7494
-1890,2439,7531
-1900,2392,7461
-1912,2359,7485
-1884,2266,7474
-1874,2307,7504
-1857,2303,7537
-1873,2307,7511
-1881,2334,7553
-1903,2335,7627
-1893,2427,7603
-1899,2511,7605
-1964,2588,7569
-1996,2709,7578
-1943,2783,7531
-1983,2994,7564
-1968,3086,7537
-1961,3158,7632
-1987,3218,7614
-1941,3275,7642
-1962,3346,7597
-1951,3430,7674
-1953,3524,7661
-1915,3635,7621
-1890,3714,7713
-1830,3845,7676
-1830,3950,7666
-1808,3950,7666
-1808,3950,7666
-1779,4066,7639
-1744,4076,7717
-1739,4122,7806
-1648,4147,7992
6,1688,9402
23,1666,9380
72,1553,9308
104,1345,9235
175,1194,9156
175,1194,9141
170,1230,9141
197,1231,9166
274,1023,8997
341,766,8766
415,526,8590
468,531,8590
430,718,8795
401,899,8949
442,951,9022
520,876,9032
580,773,8912
586,702,8854
611,687,8838
721,766,8904
650,911,9013
675,1046,9142
660,1101,9196
689,1107,9161
731,999,9096
698,898,8931
675,871,8980
683,904,9003
683,967,9050
586,1110,9106
-644,2163,9256
-745,2218,9179
-781,2194,9156
-892,2224,9115
-1008,2213,9012
-1105,2221,8968
-1269,2276,8808
-1350,2260,8695
-1418,2257,8634
-1475,2220,8665
-1482,2215,8552
