mx,my,mz
47,2590,9893
41,2561,9948
66,2588,9892
38,2569,9897
58,2600,9959
86,2575,9899
71,2596,9919
53,2600,9935
44,2606,9903
64,2579,9883
57,2576,9921
57,2576,9906
58,2549,9906
69,2578,9939
50,2595,9939
23,2884,9869
82,3041,9954
61,3005,9910
75,2909,9918
85,2765,9922
44,2593,9858
30,2348,9876
70,2632,9889
45,2616,9914
4,2532,9928
-41,2563,9873
-169,2656,9856
-302,2744,9766
-505,2797,9683
-688,2778,9538
-1764,2489,8445
-1861,2485,8269
-1952,2485,8129
-2004,2494,8016
-2077,2491,7873
-2060,2468,7814
-2098,2464,7750
-2058,2452,7758
-2078,2473,7764
-2106,2474,7801
-2084,2482,7793
-2065,2478,7801
-2102,2476,7827
-2084,2473,7807
-2093,2478,7823
-2084,2680,7878
-2128,2750,7827
-2149,2869,7872
-2102,2955,7886
-2113,3113,7929
-2073,3207,8008
-2068,3303,8031
-2033,3395,8106
-1963,3452,8112
-1947,3496,8130
-1944,3595,8110
-1945,3562,8179
-1948,3507,8233
-1944,3437,8156
-1970,3358,8120
-1596,1817,8275
-1611,1786,8259
-1567,1736,8270
-1500,1701,8332
-1424,1633,8382
-1347,1654,8484
-1280,1645,8582
-1265,1610,8665
-1224,1495,8578
-1219,1454,8569
-1181,1428,8572
-1182,1423,8570
-1124,1408,8591
-1124,1408,8591
-1046,1393,8593
-1027,1407,8615
-972,1438,8796
-956,1487,8827
-907,1502,8859
-859,1473,8845
-860,1495,8871
-865,1502,8923
-859,1544,8946
-838,1606,8936
-838,1643,9048
-828,1643,9048
-739,1666,9078
-681,1712,9171
-614,1787,9244
-536,1856,9316
-498,1963,9383
-421,2070,9436
-375,2161,9501
-375,2161,9501
-380,2215,9517
-345,2331,9601
-260,2447,9650
-197,2613,9643
-132,2709,9689
-84,2769,9744
-21,2853,9777
-21,2853,9777
37,2910,9795
62,2923,9798
27,2810,9779
51,2810,9818
-42,2804,9763
-121,2804,9738
-176,2751,9685
-223,2644,9682
-223,2644,9682
-295,2617,9638
-271,2476,9632
-354,2447,9591
-372,2485,9617
-348,2570,9626
-324,2517,9602
-495,2192,9419
-587,2136,9391
-614,2064,9333
-678,1987,9259
-747,1975,9217
-830,2068,9181
-902,2067,9142
-1063,1869,8933
-1150,1779,8806
-1198,1705,8733
-1640,1982,8240
-1671,1988,8255
-295,3487,9639
-230,3656,9604
-253,3517,9645
-275,3515,9643
-342,3536,9587
-412,3621,9550
-476,3564,9466
-491,3503,9507
-444,3529,9494
-429,3545,9532
-377,3493,9540
-400,3522,9527
-400,3522,9511
-413,3627,9511
-464,3642,9463
-449,3689,9459
-528,3626,9378
-600,3696,9319
-600,3696,9319
-726,3756,9337
-742,3766,9279
-780,3787,9299
-760,3763,9260
-807,3798,9185
-807,3794,9168
-836,3794,9168
-894,3848,9133
-915,3852,9107
-951,3873,9153
-943,3894,9086
-1003,3905,9064
-998,3923,9037
-1043,3987,9033
-1054,4074,8929
-1104,4039,8951
-1135,4009,8947
-1160,4033,8888
-1187,3991,8876
-1174,4001,8903
-1181,4027,8871
-1178,4009,8898
-1204,4025,8854
-1159,4062,8905
-1122,4103,8899
-1085,4077,8918
-1032,4073,8950
-980,4027,8990
-465,3799,9444
-481,3817,9462
-491,3742,9481
-1019,4231,8875
-1173,2859,9027
-1205,3041,9072
-1262,3090,9033
-2300,3569,6742
-2312,3726,6732
-2269,3899,6703
-2230,4073,6739
-2192,4183,6850
-2108,4243,7001
-2028,4306,7131
-2006,4352,7251
-1964,4326,7296
-1967,4383,7228
-1947,4366,7239
-1982,4357,7191
-1972,4405,7221
-2008,4419,7219
-1987,4421,7161
-1994,4352,7146
-1984,4351,7265
-1886,4346,7464
-1831,4306,7699
-1705,4204,7902
