X,Y,Z
1098,3988,9480
1098,3988,9480
1098,3988,9480
1098,3988,9480
1098,3988,9480
1098,3988,9480
1098,3988,9480
1098,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1144,3978,9526
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1135,3983,9490
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1113,3964,9555
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1081,3944,9494
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1048,3942,9535
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1056,3978,9486
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1078,3963,9520
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1101,3963,9502
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1063,3913,9497
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1017,3852,9555
1072,3818,9559
1072,3818,9559
1072,3818,9559
1072,3818,9559
1072,3818,9559
1072,3818,9559
1072,3818,9559
1072,3818,9559
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3871,9552
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1118,3875,9549
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1142,3902,9551
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1069,3950,9547
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1165,3985,9523
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
1096,3957,9514
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
959,3980,9513
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
867,3971,9483
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
905,3946,9502
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
874,3887,9525
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
952,3958,9514
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1044,4029,9459
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1050,4003,9531
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
1022,3904,9483
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
987,3921,9521
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
935,3958,9480
854,3954,9469
854,3954,9469
854,3954,9469
854,3954,9469
854,3954,9469
854,3954,9469
854,3954,9469
749,3930,9487
