X,Y,Z
2024,1235,9302
2024,1235,9302
2024,1235,9302
2024,1235,9302
2024,1235,9302
2024,1235,9302
2024,1235,9302
2024,1235,9302
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
2001,1231,9300
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
1998,1226,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2068,1230,9291
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2086,1307,9370
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2084,1296,9283
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
2091,1289,9346
1977,1334,9388
1977,1334,9388
1977,1334,9388
1977,1334,9388
1977,1334,9388
1977,1334,9388
1977,1334,9388
1977,1334,9388
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1811,1339,9412
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1595,1325,9381
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1599,1325,9382
1656,1343,9406
1656,1343,9406
1656,1343,9406
1656,1343,9406
1656,1343,9406
1656,1343,9406
1656,1343,9406
1656,1343,9406
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1749,1382,9449
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1795,1398,9397
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1840,1372,9427
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1862,1399,9385
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1844,1381,9361
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1739,1331,9369
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1547,1245,9357
1330,1256,9291
1330,1256,9291
1330,1256,9291
1330,1256,9291
1330,1256,9291
1330,1256,9291
1330,1256,9291
1330,1256,9291
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1156,1280,9312
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
1044,1311,9325
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
818,1348,9272
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
691,1407,9297
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
512,1479,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9303
407,1629,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
285,1755,9376
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
237,1913,9373
111,2007,9335
111,2007,9335
111,2007,9335
111,2007,9335
111,2007,9335
111,2007,9335
73,2121,9326
73,2121,9326
73,2121,9326
73,2121,9326
73,2121,9326
73,2121,9326
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
97,2204,9327
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
49,2160,9316
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-2,2116,9265
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-75,2111,9285
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-104,2146,9243
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-96,2130,9278
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
-44,2109,9277
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
21,2040,9254
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-42,2030,9268
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-113,2070,9276
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9290
-80,2150,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-120,2151,9192
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-386,2144,9011
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-590,2102,8936
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,8908
-576,2050,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-442,2091,9029
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
-222,2116,9122
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
119,2178,9376
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
445,2196,9463
824,2170,9581
824,2170,9581
824,2170,9581
824,2170,9581
