mx,my,mz
4,-2290,10026
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
-16,-2314,9998
21,-2323,9998
21,-2323,9998
21,-2323,9998
21,-2323,9998
21,-2323,9998
-18,-2321,10029
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
4,-2348,10013
15,-2351,10035
15,-2351,10035
15,-2351,10035
15,-2351,10035
15,-2351,10035
-1599,-1835,8375
-1599,-1835,8375
-1599,-1835,8375
-1599,-1835,8375
-1599,-1835,8375
-1599,-1835,8375
-1599,-1835,8375
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
-1680,-1858,8339
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
1935,-1941,10068
2099,-1993,10029
2099,-1993,10029
2099,-1993,10029
2099,-1993,10029
2099,-1993,10029
2099,-1993,10029
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1604,-3207,8647
-1673,-3182,8549
-1673,-3182,8549
-1673,-3182,8549
-1673,-3182,8549
-1673,-3182,8549
3227,-2308,9662
3227,-2308,9662
3227,-2308,9662
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3256,-2405,9641
3268,-2492,9639
3268,-2492,9639
3268,-2492,9639
4625,-2929,8349
4625,-2929,8349
4625,-2929,8349
4625,-2929,8349
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4669,-2892,8251
4643,-2887,8198
4643,-2887,8198
4216,-2556,8905
