timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,mag_x_raw,mag_y_raw,mag_z_raw,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,mag_x_cal,mag_y_cal,mag_z_cal,accel_x_cal,accel_y_cal,accel_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,pitch_deg,roll_deg
627741,216.29,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,4.370,31.336,135.618,0.036,-0.085,-0.988,-0.011,-0.063,-0.033,-18.644,-11.278,45.157,0.029,-0.092,-0.995,-0.005,0.013,0.008,1.69,5.28
627849,216.37,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.932,31.628,135.443,0.036,-0.084,-0.991,-0.010,-0.068,-0.035,-19.071,-10.978,44.982,0.029,-0.091,-0.998,-0.003,0.008,0.006,1.70,5.27
627963,216.34,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,4.165,31.482,135.735,0.036,-0.087,-0.990,-0.006,-0.068,-0.038,-18.845,-11.128,45.277,0.029,-0.094,-0.997,-0.000,0.008,0.003,1.70,5.28
628071,216.38,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.435,31.131,135.472,0.033,-0.086,-0.992,-0.011,-0.067,-0.037,-19.552,-11.481,45.015,0.027,-0.093,-0.999,-0.004,0.010,0.004,1.71,5.27
628179,216.35,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.712,31.862,134.975,0.036,-0.087,-0.991,-0.009,-0.067,-0.036,-19.283,-10.739,44.510,0.030,-0.095,-0.999,-0.003,0.010,0.005,1.72,5.27
628287,216.35,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,4.063,31.175,135.691,0.035,-0.084,-0.989,-0.009,-0.068,-0.036,-18.942,-11.440,45.233,0.028,-0.091,-0.997,-0.002,0.008,0.005,1.71,5.27
628395,216.40,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.771,31.277,136.364,0.034,-0.087,-0.988,-0.011,-0.064,-0.033,-19.232,-11.334,45.915,0.027,-0.094,-0.995,-0.004,0.012,0.008,1.71,5.27
628504,216.45,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.873,31.204,135.428,0.033,-0.088,-0.991,-0.010,-0.070,-0.037,-19.126,-11.409,44.968,0.026,-0.095,-0.999,-0.004,0.007,0.004,1.71,5.27
628612,216.43,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,4.268,31.745,134.946,0.037,-0.086,-0.990,-0.008,-0.068,-0.038,-18.742,-10.861,44.477,0.030,-0.093,-0.997,-0.002,0.009,0.004,1.71,5.26
628712,216.26,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.785,32.125,135.121,0.035,-0.086,-0.989,-0.010,-0.066,-0.034,-19.214,-10.472,44.658,0.028,-0.093,-0.996,-0.004,0.011,0.007,1.73,5.26
628821,216.11,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,3.785,31.920,135.881,0.035,-0.086,-0.988,-0.009,-0.066,-0.035,-19.218,-10.680,45.427,0.029,-0.094,-0.996,-0.003,0.010,0.006,1.73,5.26
