pose,true_hdg_deg,true_pitch_deg,true_roll_deg,mx,my,mz,ax,ay,az,gx,gy,gz,verified,still
level_015,15.0,0.0,0.0,205.6,-582.8,5556.5,0.00581,-0.02778,-1.00045,0.01558,0.00675,0.00131,1,1
level_105,105.0,0.0,0.0,-1107.2,712.1,5461.2,-0.00401,0.04724,-1.00003,0.00366,0.00058,0.00559,1,1
level_195,195.0,0.0,0.0,-2445.2,-992.3,5427.4,0.03369,-0.02081,-1.00041,0.00213,0.00307,0.00892,1,1
level_285,285.0,0.0,0.0,-1100.2,-1803.4,5561.9,0.05941,0.00589,-0.99980,0.00861,0.00036,0.01048,1,1
inverted_015,15.0,0.0,180.0,258.0,-699.2,-1132.1,0.00938,0.05881,0.99878,0.00569,-0.00371,0.00740,1,1
right_side_015,15.0,0.0,90.0,-13.5,-3943.9,2165.4,0.04073,-0.99575,0.09575,0.01378,-0.00056,0.00188,1,1
left_side_015,15.0,0.0,-90.0,393.9,2510.0,1950.2,0.00158,1.00011,0.01662,0.00556,0.00262,0.00527,1,1
nose_up_90,nan,90.0,nan,-4301.2,-585.0,3652.4,0.99705,-0.05284,-0.09976,0.00532,0.00088,0.00834,1,1
nose_down_90,nan,-90.0,nan,2109.3,-436.7,1002.3,-0.99720,-0.01425,0.00633,0.00159,0.00206,0.00830,1,1
up45_015,15.0,45.0,0.0,-2598.6,-529.5,5393.5,0.71693,-0.01274,-0.70201,0.00261,-0.00064,0.01001,1,1
up45_rollr_015,15.0,45.0,90.0,-2523.7,-3998.4,2098.2,0.66626,-0.74457,0.11613,0.00706,0.00471,0.00481,1,1
down45_105,105.0,-45.0,0.0,1094.7,888.8,4505.1,-0.72796,0.10036,-0.67780,0.00319,0.00130,0.01089,1,1
up45_rolll_195,195.0,45.0,-90.0,-4254.1,527.5,1786.2,0.73333,0.66490,0.18466,0.00369,0.00303,0.00654,1,1
