timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,mag_x_raw,mag_y_raw,mag_z_raw,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,mag_x_cal,mag_y_cal,mag_z_cal,accel_x_cal,accel_y_cal,accel_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,pitch_deg,roll_deg
23841,39.40,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.961,45.425,138.293,-0.023,-0.054,-0.992,-0.012,-0.064,-0.035,17.208,3.945,49.044,-0.030,-0.061,-0.999,-0.006,0.013,0.006,-1.11,3.23
23941,39.40,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.224,45.747,138.761,-0.021,-0.055,-0.994,-0.013,-0.060,-0.033,17.460,4.278,49.518,-0.028,-0.062,-1.001,-0.006,0.017,0.008,-1.09,3.23
24049,39.45,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.742,45.630,138.132,-0.025,-0.054,-0.994,-0.012,-0.064,-0.032,16.997,4.153,48.884,-0.031,-0.061,-1.001,-0.006,0.013,0.009,-1.10,3.22
24157,39.54,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.830,45.878,138.205,-0.023,-0.055,-0.996,-0.009,-0.062,-0.035,17.081,4.409,48.960,-0.030,-0.062,-1.003,-0.002,0.015,0.006,-1.12,3.23
24261,39.52,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.195,45.440,138.132,-0.024,-0.059,-0.993,-0.013,-0.062,-0.032,17.435,3.958,48.880,-0.030,-0.066,-1.000,-0.007,0.015,0.009,-1.10,3.23
24370,39.45,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.830,45.367,137.752,-0.025,-0.057,-0.994,-0.009,-0.070,-0.038,17.084,3.880,48.497,-0.031,-0.064,-1.002,-0.003,0.007,0.003,-1.10,3.23
24479,39.38,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.450,45.162,137.971,-0.024,-0.053,-0.994,-0.014,-0.058,-0.030,16.715,3.673,48.719,-0.031,-0.060,-1.001,-0.008,0.019,0.011,-1.10,3.23
24587,39.38,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.479,46.039,138.541,-0.026,-0.054,-0.993,-0.010,-0.066,-0.034,16.740,4.577,49.302,-0.032,-0.062,-1.000,-0.004,0.011,0.007,-1.11,3.23
24695,39.55,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.669,45.104,137.971,-0.027,-0.054,-0.991,-0.013,-0.064,-0.035,16.927,3.613,48.717,-0.033,-0.061,-0.999,-0.006,0.013,0.006,-1.11,3.23
24803,39.45,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.195,45.703,137.694,-0.026,-0.054,-0.994,-0.012,-0.061,-0.032,17.437,4.224,48.440,-0.032,-0.061,-1.001,-0.005,0.015,0.009,-1.11,3.23
24911,39.47,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.844,45.835,137.314,-0.023,-0.052,-0.993,-0.011,-0.067,-0.037,17.099,4.356,48.058,-0.030,-0.060,-1.001,-0.005,0.010,0.005,-1.11,3.22
25020,39.54,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.166,45.908,137.474,-0.022,-0.052,-0.996,-0.012,-0.065,-0.034,17.409,4.432,48.220,-0.029,-0.059,-1.004,-0.006,0.012,0.007,-1.11,3.22
25128,39.55,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.406,45.294,137.928,-0.023,-0.054,-0.994,-0.013,-0.062,-0.031,16.673,3.807,48.676,-0.030,-0.061,-1.001,-0.006,0.015,0.010,-1.12,3.23
25236,39.49,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.728,45.279,138.103,-0.026,-0.057,-0.989,-0.013,-0.064,-0.035,16.983,3.794,48.851,-0.033,-0.064,-0.996,-0.006,0.013,0.006,-1.11,3.23
25340,39.50,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.464,45.586,137.241,-0.022,-0.055,-0.994,-0.011,-0.068,-0.037,16.732,4.101,47.984,-0.028,-0.062,-1.002,-0.005,0.009,0.005,-1.12,3.23
25448,39.59,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.640,45.630,138.278,-0.039,-0.054,-0.961,-0.012,-0.081,-0.032,16.897,4.155,49.032,-0.046,-0.061,-0.968,-0.006,-0.004,0.009,-1.18,3.24
25556,39.67,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.348,45.484,137.884,-0.031,-0.035,-0.988,-0.009,-0.030,-0.038,16.617,4.002,48.633,-0.037,-0.042,-0.996,-0.003,0.047,0.003,-1.24,3.26
25666,39.73,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.479,45.601,137.650,-0.005,-0.040,-1.008,-0.012,-0.052,-0.035,16.745,4.119,48.398,-0.012,-0.047,-1.015,-0.005,0.024,0.006,-1.13,3.26
25774,39.79,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.122,45.703,137.650,-0.026,-0.049,-1.000,-0.011,-0.077,-0.035,17.366,4.224,48.396,-0.032,-0.056,-1.008,-0.005,-0.001,0.006,-1.15,3.26
25874,39.76,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.181,45.586,137.694,-0.004,-0.051,-0.996,-0.012,-0.063,-0.037,17.423,4.104,48.439,-0.010,-0.058,-1.003,-0.006,0.014,0.004,-1.14,3.26
25977,39.73,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.108,45.791,138.088,-0.032,-0.048,-1.001,-0.013,-0.071,-0.031,17.350,4.317,48.839,-0.038,-0.055,-1.008,-0.006,0.005,0.010,-1.13,3.28
26085,39.79,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.786,45.601,138.059,-0.076,-0.044,-0.979,-0.004,-0.099,-0.018,17.040,4.123,48.810,-0.082,-0.051,-0.987,0.002,-0.022,0.023,-1.22,3.28
26194,39.64,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.093,45.586,137.445,0.010,-0.018,-1.007,0.006,-0.080,0.088,17.339,4.102,48.188,0.004,-0.025,-1.015,0.012,-0.004,0.129,-1.12,3.15
26299,40.41,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.049,45.688,138.015,0.036,-0.045,-0.970,0.001,-0.071,0.007,17.294,4.212,48.765,0.029,-0.052,-0.978,0.007,0.005,0.048,-1.30,3.42
26407,40.23,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,42.341,45.484,138.030,0.114,0.006,-1.007,0.001,-0.054,0.234,17.577,4.002,48.777,0.108,-0.001,-1.014,0.007,0.023,0.275,-0.73,3.33
26515,41.54,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.640,46.828,137.197,0.208,0.070,-1.022,0.033,-0.023,0.686,16.901,5.374,47.950,0.201,0.064,-1.030,0.039,0.053,0.727,0.28,3.20
26624,45.84,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.289,48.012,137.562,0.058,0.043,-0.922,0.066,-0.022,1.184,16.559,6.591,48.331,0.052,0.037,-0.930,0.072,0.055,1.225,1.29,3.19
