timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,mag_x_raw,mag_y_raw,mag_z_raw,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,mag_x_cal,mag_y_cal,mag_z_cal,accel_x_cal,accel_y_cal,accel_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,pitch_deg,roll_deg
39537,51.28,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,41.333,47.501,137.913,-0.032,-0.089,-0.997,-0.012,-0.058,-0.032,16.469,5.320,48.064,-0.039,-0.097,-1.004,-0.005,0.019,0.009,-1.51,5.29
39646,51.23,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.719,47.764,137.401,-0.033,-0.094,-0.982,-0.009,-0.068,-0.033,15.878,5.587,47.550,-0.039,-0.101,-0.990,-0.002,0.008,0.008,-1.54,5.31
39754,51.26,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.471,47.574,137.314,-0.031,-0.092,-0.992,-0.012,-0.070,-0.030,15.640,5.393,47.460,-0.038,-0.099,-0.999,-0.005,0.006,0.011,-1.57,5.32
39862,51.34,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.398,47.574,137.957,-0.033,-0.092,-0.976,-0.014,-0.022,-0.037,15.566,5.399,48.114,-0.039,-0.099,-0.984,-0.008,0.055,0.004,-1.52,5.32
39970,51.42,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.880,48.173,138.234,-0.031,-0.090,-0.994,-0.013,-0.053,-0.033,16.027,6.012,48.399,-0.038,-0.098,-1.001,-0.006,0.024,0.009,-1.36,5.29
40079,51.66,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.558,48.612,137.533,-0.027,-0.093,-0.994,-0.012,-0.058,-0.034,15.719,6.454,47.692,-0.034,-0.100,-1.002,-0.006,0.018,0.007,-1.34,5.29
40187,51.69,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.251,47.998,137.694,-0.026,-0.092,-0.988,-0.010,-0.063,-0.033,15.425,5.830,47.851,-0.033,-0.099,-0.995,-0.003,0.014,0.009,-1.33,5.29
40295,51.73,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.427,47.369,137.211,-0.027,-0.090,-0.992,-0.010,-0.065,-0.033,15.599,5.183,47.355,-0.034,-0.097,-0.999,-0.003,0.012,0.009,-1.33,5.29
40403,51.65,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.383,47.808,138.118,-0.028,-0.090,-0.990,-0.012,-0.063,-0.033,15.550,5.639,48.280,-0.035,-0.097,-0.998,-0.006,0.014,0.009,-1.33,5.29
40511,51.65,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.617,47.691,137.518,-0.030,-0.090,-0.993,-0.011,-0.063,-0.033,15.779,5.514,47.669,-0.037,-0.097,-1.001,-0.005,0.014,0.008,-1.33,5.29
40617,51.64,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.558,48.042,137.738,-0.031,-0.091,-0.986,-0.013,-0.060,-0.030,15.720,5.874,47.895,-0.038,-0.098,-0.994,-0.007,0.017,0.011,-1.32,5.29
40726,51.71,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.237,47.822,137.080,-0.029,-0.092,-0.988,-0.013,-0.059,-0.029,15.415,5.646,47.226,-0.036,-0.100,-0.995,-0.006,0.018,0.013,-1.32,5.29
40834,51.80,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.251,47.895,137.738,-0.039,-0.093,-0.990,-0.011,-0.064,-0.034,15.425,5.726,47.895,-0.046,-0.100,-0.998,-0.005,0.013,0.008,-1.33,5.29
40942,51.88,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.281,47.983,138.264,-0.039,-0.092,-0.993,-0.013,-0.061,-0.030,15.450,5.820,48.430,-0.045,-0.099,-1.000,-0.007,0.015,0.011,-1.31,5.30
41050,51.95,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.339,48.144,137.270,-0.040,-0.084,-0.991,-0.012,-0.061,-0.026,15.511,5.975,47.422,-0.047,-0.091,-0.998,-0.006,0.016,0.015,-1.31,5.30
41158,52.07,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.018,48.188,137.928,-0.022,-0.093,-0.993,-0.009,-0.064,-0.033,15.197,6.027,48.092,-0.029,-0.100,-1.000,-0.003,0.013,0.009,-1.29,5.30
41266,52.16,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.193,47.983,137.869,-0.022,-0.095,-0.990,-0.010,-0.059,-0.032,15.367,5.817,48.030,-0.029,-0.102,-0.998,-0.004,0.017,0.009,-1.29,5.30
41375,52.14,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.164,47.852,137.051,-0.018,-0.082,-0.999,-0.013,-0.060,-0.035,15.344,5.676,47.197,-0.024,-0.089,-1.006,-0.007,0.017,0.006,-1.28,5.30
41483,52.18,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.368,48.027,137.153,-0.042,-0.101,-0.970,-0.010,-0.063,-0.029,15.540,5.855,47.302,-0.049,-0.108,-0.978,-0.004,0.014,0.012,-1.33,5.33
41588,52.20,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.324,48.422,137.021,-0.040,-0.095,-1.005,-0.006,-0.075,-0.031,15.497,6.257,47.172,-0.047,-0.102,-1.012,0.000,0.002,0.010,-1.28,5.29
41693,52.40,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.310,48.363,137.036,-0.047,-0.103,-0.960,-0.007,-0.072,-0.026,15.483,6.197,47.186,-0.054,-0.111,-0.968,-0.001,0.004,0.015,-1.39,5.36
41802,52.28,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.354,47.749,137.562,-0.018,-0.096,-0.987,0.007,-0.089,-0.026,15.525,5.575,47.715,-0.024,-0.103,-0.995,0.014,-0.013,0.015,-1.30,5.33
41910,52.57,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.266,47.749,137.065,0.083,-0.005,-1.028,-0.055,0.030,-0.037,15.443,5.571,47.210,0.077,-0.012,-1.035,-0.049,0.107,0.005,-1.24,5.37
42018,52.71,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.018,47.910,137.314,-0.006,-0.093,-1.108,-0.043,-0.008,-0.020,15.201,5.738,47.466,-0.013,-0.100,-1.115,-0.037,0.068,0.021,-1.22,5.44
42126,52.64,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.675,47.618,137.372,-0.005,-0.082,-1.037,0.002,-0.073,0.008,15.837,5.438,47.519,-0.012,-0.089,-1.044,0.008,0.004,0.049,-1.26,5.44
42234,52.89,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.529,48.553,137.942,-0.031,-0.094,-0.962,-0.004,-0.073,0.005,15.689,6.398,48.107,-0.038,-0.102,-0.969,0.003,0.004,0.046,-1.30,5.46
42342,53.12,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.091,48.042,138.746,-0.012,-0.083,-0.989,-0.015,-0.043,0.068,15.264,5.885,48.922,-0.019,-0.090,-0.997,-0.009,0.034,0.109,-1.17,5.42
42450,53.69,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.237,48.348,137.928,-0.010,-0.090,-0.997,-0.007,-0.049,0.096,15.408,6.190,48.092,-0.017,-0.098,-1.004,-0.001,0.027,0.138,-1.10,5.38
42565,54.57,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,39.418,48.685,137.708,-0.031,-0.092,-0.988,-0.008,-0.050,0.106,14.618,6.535,47.877,-0.037,-0.100,-0.996,-0.002,0.027,0.147,-1.10,5.37
42673,55.50,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.921,48.334,137.372,-0.012,-0.089,-0.992,-0.009,-0.048,0.109,14.142,6.176,47.535,-0.019,-0.097,-1.000,-0.002,0.029,0.150,-1.08,5.37
42782,56.32,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,39.594,48.699,137.357,-0.028,-0.090,-0.995,-0.008,-0.046,0.116,14.789,6.546,47.520,-0.035,-0.097,-1.003,-0.001,0.030,0.157,-1.03,5.37
42890,57.15,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.863,49.255,137.898,-0.031,-0.088,-0.998,-0.007,-0.050,0.118,14.079,7.121,48.078,-0.038,-0.095,-1.005,-0.001,0.027,0.159,-1.03,5.34
42998,58.15,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.892,50.088,138.322,-0.005,-0.086,-0.986,-0.004,-0.052,0.144,14.102,7.975,48.516,-0.011,-0.093,-0.993,0.002,0.025,0.185,-0.95,5.32
43106,59.25,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.936,49.956,137.241,-0.018,-0.076,-0.996,-0.008,-0.042,0.177,14.150,7.831,47.416,-0.025,-0.083,-1.003,-0.002,0.035,0.218,-0.89,5.26
43214,60.65,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.541,49.868,137.445,-0.052,-0.095,-0.990,-0.006,-0.045,0.144,13.769,7.745,47.625,-0.059,-0.103,-0.998,-0.000,0.032,0.185,-1.00,5.26
43322,61.95,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,38.103,50.234,137.591,-0.044,-0.094,-0.988,-0.010,-0.043,0.106,13.344,8.121,47.779,-0.050,-0.101,-0.995,-0.003,0.034,0.147,-1.12,5.29
43431,63.04,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,37.635,50.760,137.957,-0.021,-0.083,-0.995,-0.010,-0.048,0.090,12.888,8.664,48.158,-0.028,-0.090,-1.003,-0.003,0.028,0.131,-1.15,5.29
