timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,mag_x_raw,mag_y_raw,mag_z_raw,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,mag_x_cal,mag_y_cal,mag_z_cal,accel_x_cal,accel_y_cal,accel_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,pitch_deg,roll_deg
85279,41.73,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,39.813,45.981,137.299,-0.006,-0.061,-0.994,-0.009,-0.068,-0.036,15.135,4.507,48.054,-0.013,-0.068,-1.001,-0.002,0.009,0.005,-0.06,3.69
85387,41.76,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.807,45.703,137.255,-0.003,-0.058,-0.995,-0.010,-0.063,-0.035,16.096,4.221,48.003,-0.010,-0.065,-1.003,-0.003,0.014,0.006,-0.05,3.69
85496,41.71,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.412,46.288,137.357,-0.003,-0.059,-0.995,-0.007,-0.071,-0.038,15.714,4.822,48.113,-0.009,-0.066,-1.002,-0.001,0.006,0.003,-0.06,3.68
85604,41.81,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.193,46.010,137.343,-0.004,-0.061,-0.995,-0.010,-0.065,-0.036,15.502,4.537,48.097,-0.011,-0.068,-1.002,-0.003,0.011,0.005,-0.05,3.68
85709,41.81,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.354,45.849,137.211,-0.002,-0.059,-0.994,-0.009,-0.066,-0.037,15.659,4.371,47.962,-0.009,-0.066,-1.002,-0.002,0.011,0.004,-0.06,3.69
85817,41.67,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.456,45.367,137.606,-0.002,-0.059,-0.994,-0.007,-0.068,-0.039,15.756,3.880,48.356,-0.009,-0.066,-1.002,-0.001,0.009,0.002,-0.06,3.68
85926,41.66,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.178,45.849,137.884,-0.003,-0.059,-0.995,-0.008,-0.066,-0.034,15.486,4.377,48.642,-0.009,-0.066,-1.003,-0.002,0.011,0.007,-0.05,3.68
86034,41.49,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.851,45.469,137.007,-0.002,-0.055,-1.005,-0.013,-0.067,-0.034,16.140,3.980,47.749,-0.009,-0.062,-1.013,-0.006,0.009,0.007,-0.04,3.69
86142,41.33,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.514,45.440,136.393,0.003,-0.063,-0.988,-0.011,-0.071,-0.035,15.818,3.945,47.130,-0.004,-0.070,-0.995,-0.005,0.006,0.006,-0.04,3.68
86251,41.32,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.354,45.951,136.992,-0.004,-0.066,-1.000,-0.013,-0.067,-0.033,15.659,4.474,47.741,-0.011,-0.073,-1.008,-0.006,0.010,0.008,-0.04,3.68
86360,41.38,0.000,F,0.00,0.00,47.50000000,-122.50000000,E,40.573,45.820,137.255,-0.003,-0.064,-0.988,-0.012,-0.067,-0.030,15.870,4.341,48.005,-0.009,-0.071,-0.995,-0.005,0.010,0.011,-0.04,3.69
