mx,my,mz
1941,4210,9514
1967,4211,9480
1988,4180,9493
1953,4187,9495
1952,4205,9565
1942,4184,9452
1944,4209,9490
1929,4181,9496
1987,4147,9562
1724,3798,9651
1245,3595,9697
725,3483,9679
227,3431,9595
98,3376,9568
98,3376,9568
151,3472,9533
412,3667,9588
752,3681,9632
967,3511,9650
1106,3411,9726
1267,3389,9763
1267,3389,9763
1397,3382,9770
1487,3263,9749
1560,3177,9718
1580,3055,9760
1704,2968,9751
1883,2924,9718
1909,2880,9719
1909,2880,9719
1959,2807,9741
2030,2863,9719
2112,2942,9636
2148,3065,9690
2148,3065,9690
2136,3172,9657
2032,3421,9629
1833,3618,9606
1833,3618,9606
1322,3687,9595
838,3779,9531
354,3837,9486
354,3837,9486
-254,3801,9287
-600,3727,9136
-583,3784,9098
-583,3784,9098
-591,3645,9130
-801,3692,8977
-962,3451,8900
-962,3451,8900
-1163,3481,8683
-1163,3481,8683
-1434,3679,8386
-1434,3679,8386
-1691,3902,7943
-1813,4133,7587
-1892,4150,7461
-1980,4120,7241
-1980,4120,7241
-1979,4228,7053
-1979,4228,7053
-1989,4300,6705
-2037,4270,6696
-2059,4250,6653
-2058,4221,6673
-2058,4221,6673
-2036,4148,6894
-2036,4148,6894
-2036,4148,6894
-2015,4109,7149
-1978,4056,7293
-1953,3966,7470
-1876,4072,7477
-1907,4000,7408
-1929,4069,7382
-1860,4254,7421
-1851,4139,7502
-1831,4360,7230
-1870,4321,7178
-1922,4326,7042
-1996,4306,6799
-2072,4257,6170
-2077,4160,6047
-2067,4117,5835
-2087,4107,5747
-2045,4037,5632
-2062,4018,5545
-2062,3921,5474
-2076,3829,5339
-2076,3829,5339
-2116,3664,5321
-2130,3562,5341
-2130,3562,5341
-2120,3375,5292
-2114,3373,5270
-2153,3275,5281
-2142,3226,5212
-2204,3175,5300
-2180,3080,5316
-2148,3049,5292
-2148,3049,5258
-2197,3004,5258
-2198,2950,5294
-2214,2859,5249
-2174,2778,5272
-2203,2693,5358
-2203,2693,5358
-2207,2669,5369
-2207,2669,5369
-2194,2693,5364
-2166,2681,5389
-2217,2730,5373
-2204,2781,5369
-2219,2826,5375
-2191,2933,5420
-2227,3001,5386
-2225,3040,5393
-2204,3116,5390
-2202,3191,5369
-2194,3316,5403
-2144,3932,5746
-2099,4016,5764
-2093,4067,5876
-2105,4101,5960
-2111,4159,6039
-2090,4183,6158
-2074,4255,6210
-2074,4255,6210
-2032,4266,6214
-2061,4302,6333
-2065,4324,6370
-2003,4340,6445
-2020,4312,6430
-2056,4290,6487
-2072,4157,6219
-2142,4128,6122
-2093,4085,6068
-2125,4104,6001
-2130,4082,5952
-1900,3929,7542
-1871,3874,7584
-1919,3744,7654
-1905,3738,7603
-1904,3617,7615
-1940,3541,7633
-1993,3516,7664
-1965,3383,7715
-1941,3290,7761
-1919,3175,7744
-1925,3017,7808
-1922,2952,7814
-1944,2855,7754
-1971,2881,7763
-1938,2952,7748
-1978,2869,7721
-2014,2970,7729
-2014,2970,7729
-1973,2968,7672
-1995,2990,7746
-1914,3128,7804
-1673,3695,8077
-1751,3642,7964
-1918,3402,7740
-1450,4827,7508
