mx,my,mz
-1656,3666,8115
-1610,3725,8157
-1508,3683,8210
-1526,3667,8269
-1454,3711,8376
-1412,3696,8309
-1394,3671,8336
-1433,3719,8343
-1489,3760,8257
-1595,3755,8097
-1654,3746,8058
-1637,3780,8070
-1637,3780,8070
-1630,3755,8090
-1540,3791,8204
-1506,3807,8187
-1484,3884,8210
-1494,3926,8157
-1514,3944,8177
-1509,3920,8139
-1471,3896,8185
-1496,3898,8235
-1547,3907,8154
-1550,3857,8120
-1455,3842,8297
-1391,3861,8418
-1317,3956,8479
-1398,4079,8264
-1567,4037,8023
-1661,4081,7784
-1661,4081,7784
-1866,4037,7426
-2019,3901,7145
-2027,3978,7019
-1859,4068,7580
-1859,4068,7580
-1316,3916,8443
-789,3851,8927
-789,3851,8927
-533,4007,9044
-742,4207,8832
-742,4207,8832
-742,4207,8832
-1231,4142,8295
-1864,3908,7530
-1864,3908,7530
-2134,4008,6569
-2134,4008,6569
-2064,4176,5969
-1994,4459,6426
-1871,4378,7174
-1871,4378,7174
-1812,4161,7567
-1812,4161,7567
-1812,3997,7368
-1936,3997,7368
-2213,3664,6725
-2270,3482,5771
-2270,3482,5771
-2000,3586,5054
-2000,3586,5054
-2000,3586,5054
-2000,3586,5054
-2000,3586,5054
-1951,4065,5165
-1951,4065,5165
-1951,4065,5165
-1951,4065,6077
-2105,4150,6077
-2105,4150,6077
-2161,3914,6887
-2161,3914,6887
-2186,3596,6925
-2186,3596,6925
-2297,3206,6764
-2329,2910,6456
-2314,2742,5803
-2314,2742,5803
-2314,2647,5176
-2148,2647,5176
-2148,2647,5176
-1959,2858,4772
-1959,2858,4772
-1959,2858,4772
-1959,2858,4772
-1959,2858,4772
-1816,3164,4490
-1816,3164,4490
-1795,3606,4668
-1996,4008,5400
-1996,4008,5400
-2097,4084,6196
-2097,4084,6196
-2145,3830,6783
-2151,3465,7057
-2148,2982,7213
-2197,2561,6981
-2197,2561,6981
-2197,2561,6981
-2234,2393,6423
-2170,2338,5487
-1842,2927,4556
-2116,3382,5224
-2116,3382,5224
-2233,3689,6125
-2233,3689,6125
-2233,3689,6125
-2192,3486,7001
-2094,2891,7422
-2094,2891,7422
-1954,2485,7560
-1954,2194,7348
-2008,2194,7348
-2008,2194,7348
-2137,2001,6655
-2110,1982,5832
-2003,2123,5222
-2003,2123,5222
-2003,2123,5222
-2133,2586,5401
-2133,2586,5401
-2133,2586,6476
-2307,2718,6476
-2307,2718,6476
-2307,2718,6476
-2078,2477,7367
-1872,2231,7703
-1696,1996,7815
-1807,1868,7618
-1807,1868,7618
-1984,1746,6902
-2033,1823,5980
-2033,1823,5980
-2033,1823,5980
-2006,2089,5126
-2007,2468,5047
-2007,2468,5047
-2265,2532,5942
-2265,2532,5942
