mx,my,mz
2036,1662,9593
2142,1746,9545
2108,1751,9541
2022,1784,9588
2000,1779,9616
2109,1919,9632
2121,1921,9652
2001,1890,9654
1861,1839,9648
1863,1769,9643
2022,1835,9646
2214,2088,9705
2214,2088,9705
2214,2088,9705
2482,2316,9763
2704,2499,9695
2540,2744,9820
2540,2744,9820
2540,2809,9893
1842,2809,9893
1020,2808,9857
122,2976,9637
-704,3016,9153
-1437,2954,8542
-1437,2954,8542
-1837,2828,7907
-2030,2734,7387
-2120,2598,6965
-2131,2651,6677
-2170,2655,6550
-2170,2655,6550
-2176,2615,6494
-2167,2718,6760
-2167,2718,6760
-2069,2726,7313
-1837,2569,7879
-1362,2383,8582
-1362,2383,8582
-758,2316,9100
-171,2340,9459
448,2253,9693
1107,2305,9829
1902,2105,9770
1902,2105,9770
2611,1890,9511
3086,1894,9280
3471,1877,9061
3726,1970,8930
3769,2032,8996
3549,2004,9092
3138,1981,9383
-1205,2037,8528
-1533,2067,8099
-1793,2027,7731
-1866,1996,7296
-1913,1925,6912
-1913,1925,6912
-1964,1899,6743
-1964,1899,6743
-1988,1940,6604
-1994,1942,6485
-2026,1976,6349
-1994,2008,6339
-2035,2028,6364
-2015,2006,6488
-2032,1988,6484
-2014,1940,6649
-2010,1998,6700
-2019,1982,6802
-1946,1978,6963
-1861,1923,7213
-1783,1920,7533
-1783,1920,7533
-1783,1871,7878
-1597,1871,7878
-1280,1785,8268
-1009,1726,8644
-651,1663,8921
-651,1663,8921
-378,1652,9065
-378,1652,9206
-110,1640,9206
77,1668,9281
290,1673,9358
440,1641,9392
634,1629,9457
785,1638,9480
1029,1606,9534
1227,1614,9598
1418,1607,9570
1677,1580,9540
1922,1588,9541
2162,1546,9493
2348,1492,9384
2556,1491,9356
2758,1578,9312
2933,1526,9251
3145,1560,9176
3145,1560,9176
3388,1574,8988
3528,1630,8907
3704,1647,8741
3943,1650,8581
3961,1649,8493
4154,1615,8244
4292,1637,8014
4292,1637,8014
4362,1650,7877
4399,1673,7782
4475,1720,7745
4475,1720,7745
4483,1724,7626
4483,1724,7626
4507,1717,7629
4512,1695,7599
4484,1716,7604
4523,1689,7603
4481,1712,7590
4544,1716,7536
4580,1713,7371
4581,1645,7246
4610,1623,7171
4587,1645,7154
4631,1669,7198
4617,1749,7266
4621,1804,7288
4699,1851,7290
4671,1884,7319
4687,1955,7317
4770,1997,7160
4761,1986,6935
4775,1856,6577
4775,1856,6577
4775,1856,6577
4610,1626,6163
4610,1626,6163
4469,1459,5842
4446,1449,5766
4481,1468,5882
4481,1468,5882
4584,1555,5958
4584,1555,5958
4650,1648,6110
4650,1648,6110
4693,1780,6199
4693,1780,6199
4761,1861,6336
4742,1818,6555
4750,1908,6949
4710,1990,7237
4710,1990,7237
4690,2039,7417
4690,2106,7523
4696,2106,7523
4659,2179,7642
4639,2239,7815
4567,2288,7971
4514,2316,8096
4514,2316,8096
4425,2361,8219
4400,2350,8311
4375,2419,8431
4375,2419,8431
4256,2396,8554
4164,2384,8633
4070,2373,8746
4016,2373,8881
3882,2426,8961
3772,2427,9034
3699,2409,9066
3571,2432,9115
3492,2413,9262
3366,2502,9355
3268,2461,9404
-48,2688,9581
-48,2688,9581
-165,2693,9474
-307,2601,9427
-397,2604,9349
-397,2604,9310
-458,2589,9310
-477,2588,9284
