X,Y,Z
2569,1892,9740
2569,1892,9740
2569,1892,9740
2569,1892,9740
2556,1866,9760
2556,1866,9760
2556,1866,9760
2556,1866,9760
2556,1866,9760
2556,1866,9760
2556,1866,9760
2556,1866,9760
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2564,1877,9746
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2558,1945,9819
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2559,1939,9759
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2569,1913,9791
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2495,1924,9789
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2467,1859,9794
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2372,1877,9812
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2198,1828,9774
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2120,1819,9766
2041,1760,9785
2041,1760,9785
2041,1760,9785
2041,1760,9785
2041,1760,9785
2041,1760,9785
2041,1760,9785
2041,1760,9785
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2027,1776,9762
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
2048,1754,9759
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1998,1746,9763
1988,1684,9699
1988,1684,9699
