X,Y,Z
2245,1657,9381
2245,1657,9381
2245,1657,9381
2245,1657,9381
2245,1657,9381
2203,1627,9413
2203,1627,9413
2203,1627,9413
2203,1627,9413
2203,1627,9413
2203,1627,9413
2203,1627,9413
2203,1627,9413
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2170,1568,9407
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2131,1533,9382
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2107,1470,9413
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
2044,1471,9352
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1918,1467,9405
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1967,1567,9440
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1919,1728,9529
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1867,1928,9543
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9558
1955,1957,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1937,1843,9514
1939,1719,9497
1939,1719,9497
1939,1719,9497
1939,1719,9497
1939,1719,9497
1939,1719,9497
1939,1719,9497
1939,1719,9497
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
1962,1593,9409
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2079,1582,9407
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2184,1542,9359
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2237,1438,9282
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2386,1468,9257
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2432,1441,9278
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9264
2500,1512,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2589,1560,9240
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2652,1638,9265
2752,1743,9235
2752,1743,9235
2752,1743,9235
2752,1743,9235
2752,1743,9235
2752,1743,9235
2752,1743,9235
2752,1743,9235
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2782,1840,9251
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2906,2009,9269
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2898,2237,9357
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2912,2452,9356
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2879,2582,9426
2648,2733,9515
2648,2733,9515
2648,2733,9515
2648,2733,9515
2648,2733,9515
2675,2801,9472
2675,2801,9472
2675,2801,9472
2675,2801,9472
2675,2801,9472
2675,2801,9472
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2606,2886,9515
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2538,2927,9477
2604,2970,9473
2604,2970,9473
2604,2970,9473
2604,2970,9473
2604,2970,9473
2604,2970,9473
2604,2970,9473
2604,2970,9473
2547,3090,9455
2547,3090,9455
2547,3090,9455
2547,3090,9455
2547,3090,9455
2547,3090,9455
2547,3090,9455
