X,Y,Z
1156,3680,9351
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1160,3683,9329
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1147,3670,9352
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1119,3712,9418
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1145,3702,9361
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3686,9394
1133,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1147,3709,9360
1202,3717,9343
1202,3717,9343
1202,3717,9343
1202,3717,9343
1202,3717,9343
1202,3717,9343
1202,3717,9343
1202,3717,9343
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1245,3756,9321
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
1037,3904,9325
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
857,3927,9269
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
937,3807,9357
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1049,3613,9438
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9434
1034,3708,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1084,3700,9436
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1195,3623,9476
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9542
1308,3466,9632
1404,3375,9632
1404,3375,9632
1404,3375,9632
