X,Y,Z
979,4033,9767
979,4033,9767
979,4033,9767
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
993,4080,9720
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
938,4036,9749
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
935,4055,9768
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
957,4085,9747
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
911,4055,9743
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
967,4055,9731
966,4049,9759
966,4049,9759
966,4049,9759
966,4049,9759
966,4049,9759
966,4049,9759
966,4049,9759
966,4049,9759
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
971,4053,9756
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
774,3912,9750
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
140,3483,9511
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-362,3424,9240
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-584,3246,9053
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-750,3295,8945
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8870
-759,3623,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
-468,4208,8919
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
34,4688,9063
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
836,4855,9359
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1810,4737,9623
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1765,4502,9743
1639,4434,9747
1639,4434,9747
1639,4434,9747
1639,4434,9747
