X,Y,Z
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1620,1132,9316
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1524,1090,9306
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1456,1078,9251
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1435,1059,9191
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1363,1053,9181
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1326,1056,9211
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1328,1108,9257
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1257,1152,9320
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1150,1172,9291
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1173,1164,9311
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1121,1242,9315
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1174,1268,9307
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1276,9316
1178,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1226,1292,9321
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1452,1343,9383
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1681,1389,9366
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1863,1439,9331
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
1998,1485,9382
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2212,1613,9449
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2337,1761,9491
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2651,1921,9450
2646,2026,9420
2646,2026,9420
2646,2026,9420
2646,2026,9420
2646,2026,9420
2646,2026,9420
2646,2026,9420
2646,2026,9420
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2630,2113,9467
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2716,2167,9455
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2848,2322,9413
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2761,2515,9452
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2627,2718,9493
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2666,2886,9520
2793,2965,9500
