X,Y,Z
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1396,1273,9397
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1343,1315,9356
1384,1300,9418
1384,1300,9418
1384,1300,9418
1384,1300,9418
1384,1300,9418
1384,1300,9418
1384,1300,9418
1384,1300,9418
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1381,1295,9413
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1335,1274,9388
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1380,1306,9394
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1523,1367,9492
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1558,1339,9462
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1379,1141,9342
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1147,1102,9273
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
1034,1165,9350
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
943,1272,9330
912,1336,9357
912,1336,9357
912,1336,9357
912,1336,9357
912,1336,9357
912,1336,9357
912,1336,9357
912,1336,9357
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
921,1352,9416
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
956,1296,9398
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1005,1277,9403
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1013,1324,9396
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1057,1333,9421
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1183,1267,9392
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1224,1169,9292
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1220,1102,9204
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1115,1195,9234
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1088,1205,9257
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
1048,1273,9256
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
944,1291,9275
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
799,1287,9245
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
709,1277,9214
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
658,1276,9216
578,1280,9195
578,1280,9195
578,1280,9195
578,1280,9195
578,1280,9195
578,1280,9195
578,1280,9195
578,1280,9195
529,1267,9203
529,1267,9203
529,1267,9203
529,1267,9203
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
472,1308,9156
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
500,1304,9167
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
552,1317,9175
601,1268,9167
601,1268,9167
601,1268,9167
601,1268,9167
601,1268,9167
601,1268,9167
601,1268,9167
601,1268,9167
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
713,1232,9147
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
955,1206,9223
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1219,1199,9279
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1444,1219,9265
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1587,1254,9252
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1721,1324,9324
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1881,1419,9339
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
1983,1508,9398
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1524,9368
2193,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2363,1613,9390
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2526,1709,9392
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2653,1811,9410
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2795,1976,9361
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
2998,2252,9348
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
3121,2583,9350
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
2959,2765,9391
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
3005,2823,9416
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2986,2930,9483
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2894,3041,9468
2755,3280,9488
2755,3280,9488
2755,3280,9488
2755,3280,9488
2755,3280,9488
2755,3280,9488
2755,3280,9488
2755,3280,9488
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2587,3499,9485
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2494,3563,9456
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2734,3455,9487
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2879,3391,9429
2870,3423,9422
2831,3599,9439
2831,3599,9439
2831,3599,9439
2831,3599,9439
2831,3599,9439
2831,3599,9439
2831,3599,9439
2831,3599,9439
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2546,3764,9450
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2426,3930,9420
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2238,4058,9375
2232,4144,9411
2232,4144,9411
2232,4144,9411
2232,4144,9411
2232,4144,9411
2232,4144,9411
2232,4144,9411
2232,4144,9411
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
2031,4067,9458
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3759,9574
1881,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1592,3334,9675
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1412,3129,9634
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1256,3289,9614
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
1152,3418,9623
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
763,3464,9461
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
683,3411,9521
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
760,3373,9558
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
901,3331,9613
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
769,3244,9599
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
465,2944,9572
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
474,2684,9530
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
727,2427,9574
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
461,2250,9489
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
183,2186,9362
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
123,2121,9337
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9288
161,1948,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
127,1780,9282
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
300,1500,9186
438,1335,9193
438,1335,9193
438,1335,9193
438,1335,9193
438,1335,9193
438,1335,9193
438,1335,9193
438,1335,9193
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
323,1386,9152
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
261,1562,9091
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
246,1707,9204
474,1737,9327
474,1737,9327
474,1737,9327
474,1737,9327
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
787,1548,9354
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1076,1264,9280
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
1205,1063,9175
945,996,9045
945,996,9045
945,996,9045
945,996,9045
945,996,9045
945,996,9045
945,996,9045
945,996,9045
945,996,9045
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
833,1065,9079
1110,1173,9270
1110,1173,9270
1110,1173,9270
1110,1173,9270
1110,1173,9270
1110,1173,9270
1110,1173,9270
1110,1173,9270
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1314,1335,9377
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1409,1446,9407
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1477,1623,9460
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1606,1798,9554
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1733,1930,9551
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1776,2031,9521
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1715,2120,9565
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1675,2317,9611
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1671,2536,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1593,2747,9638
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1534,2891,9665
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1619,3006,9653
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1593,3284,9620
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1464,3533,9567
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1448,3576,9537
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1441,3533,9619
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1400,3523,9621
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1084,3623,9576
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
1075,3730,9541
643,3862,9364
643,3862,9364
643,3862,9364
643,3862,9364
643,3862,9364
643,3862,9364
643,3862,9364
643,3862,9364
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
368,3929,9230
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
65,3906,9140
15,3863,9128
15,3863,9128
15,3863,9128
15,3863,9128
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
292,3797,9272
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1221,3754,9541
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
1057,3859,9506
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
753,3921,9383
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-14,3773,9129
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-573,3586,8867
-856,3320,8712
