X,Y,Z
1717,1125,9245
1717,1125,9245
1717,1125,9245
1717,1125,9245
1717,1125,9245
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1687,1135,9243
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1688,1176,9289
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1648,1244,9288
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1761,1326,9333
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1795,1361,9331
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1669,1355,9360
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1348,1331,9359
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
1152,1308,9299
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
818,1299,9181
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
483,1296,9057
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
137,1316,8981
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-181,1412,8835
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-256,1468,8809
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
-187,1464,8845
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
34,1417,8927
244,1390,9037
244,1390,9037
244,1390,9037
244,1390,9037
244,1390,9037
244,1390,9037
244,1390,9037
244,1390,9037
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
617,1362,9141
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
933,1340,9230
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1239,1318,9265
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1558,1358,9338
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
1839,1338,9304
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2083,1354,9250
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2341,1356,9295
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2584,1371,9154
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
2893,1402,9042
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8952
3210,1418,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1420,8833
3412,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3653,1432,8714
3832,1451,8604
3832,1451,8604
3832,1451,8604
3832,1451,8604
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8571
3848,1463,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3898,1459,8515
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3861,1456,8588
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3704,1410,8692
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3542,1347,8795
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3339,1376,8913
3161,1343,8972
3161,1343,8972
3161,1343,8972
3161,1343,8972
3161,1343,8972
3161,1343,8972
3161,1343,8972
3161,1343,8972
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2896,1359,9070
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2625,1414,9227
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2367,1370,9292
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
2072,1372,9339
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1801,1393,9370
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1518,1371,9364
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1270,1353,9295
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
1067,1301,9308
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1292,9240
867,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
659,1337,9233
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
566,1362,9190
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
480,1414,9201
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
403,1390,9121
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
468,1347,9148
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
711,1360,9231
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1421,9292
1035,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1370,1371,9363
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
1863,1368,9344
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2162,1366,9319
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2383,1386,9260
2575,1399,9222
2575,1399,9222
2575,1399,9222
2575,1399,9222
2575,1399,9222
2575,1399,9222
2575,1399,9222
2575,1399,9222
2872,1396,9135
2872,1396,9135
3092,1458,9051
3092,1458,9051
3092,1458,9051
3092,1458,9051
3092,1458,9051
3092,1458,9051
3092,1458,9051
3092,1458,9051
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3293,1458,8969
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3421,1411,8899
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3662,1418,8683
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1416,8496
3889,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3894,1406,8532
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3639,1418,8752
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
3242,1357,8981
2905,1389,9171
2905,1389,9171
2905,1389,9171
2905,1389,9171
2905,1389,9171
2905,1389,9171
2905,1389,9171
2905,1389,9171
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2515,1378,9239
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
2100,1426,9337
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1686,1468,9385
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
1370,1390,9412
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
957,1372,9334
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
660,1334,9241
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
322,1255,9041
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
18,1262,8862
-193,1228,8756
