mx,my,mz
2102,4390,9526
2111,4416,9519
2104,4408,9520
2095,4421,9509
2143,4380,9523
2099,4367,9558
2110,4392,9523
2132,4402,9546
2092,4389,9528
2094,4432,9484
2118,4420,9483
2127,4456,9475
2117,4473,9480
2111,4460,9509
2079,4451,9468
2079,4451,9490
2115,4454,9490
2088,4479,9416
1940,4416,9554
1884,4385,9574
1901,4380,9547
1854,4424,9552
1871,4499,9540
2014,4729,9409
2014,4729,9121
2370,4901,9121
2753,4938,8984
3073,4712,8932
3509,4395,8812
3926,4115,8690
4131,3967,8489
4104,4021,8567
4073,4034,8546
4073,4047,8588
4082,4047,8588
4082,4047,8588
4049,4121,8517
4020,4131,8566
4045,4163,8525
3998,4119,8547
4070,4107,8512
4107,4096,8526
4155,4092,8412
4155,4092,8412
4190,4060,8386
4146,4091,8463
4146,4091,8463
4061,4098,8495
4061,4131,8529
4077,4131,8529
4088,4103,8549
4088,4103,8549
4049,4000,8625
4055,4000,8600
4035,4045,8610
3983,4061,8683
3944,4050,8687
3944,4050,8656
3914,4126,8656
3914,4160,8649
3908,4123,8745
3891,4083,8808
3842,4052,8869
3785,4077,8893
3692,4086,8916
3618,4090,9009
3536,4046,9116
3469,3989,9211
3405,3932,9240
3346,3887,9311
3252,3793,9362
3252,3793,9362
3249,3757,9382
3249,3728,9361
3218,3728,9361
3166,3659,9379
3188,3580,9416
3171,3495,9420
3161,3484,9478
3166,3432,9508
3135,3380,9501
3190,3282,9519
3153,3270,9552
3083,3290,9552
3071,3319,9560
3082,3293,9607
3091,3300,9604
3144,3320,9587
3174,3380,9529
3462,3490,9241
3539,3605,9221
3539,3605,9122
3651,3623,9122
3706,3663,9093
3745,3677,9032
3774,3674,8984
3048,3204,9555
2965,3152,9614
2954,3038,9604
2909,3044,9628
2881,3044,9668
2806,2935,9726
2813,2867,9692
2811,2807,9666
2803,2713,9687
2801,2679,9723
2784,2683,9702
2808,2669,9698
2843,2641,9696
2827,2610,9725
2807,2594,9673
2775,2642,9679
2736,2622,9726
2708,2593,9664
2925,2072,9505
2976,2013,9466
2970,1960,9491
2934,1920,9487
2951,1863,9404
2987,1839,9430
2972,1821,9429
3001,1777,9374
3013,1755,9348
3033,1739,9343
3069,1687,9352
3090,1613,9320
3066,1634,9290
3100,1612,9289
3127,1578,9246
3120,1566,9199
3120,1566,9199
3199,1536,9137
3209,1470,9150
3228,1465,9054
3247,1487,9045
3303,1549,9036
3318,1500,9014
3353,1503,8968
3366,1441,8976
3390,1460,8911
3355,1437,8940
3377,1471,8956
3345,1438,8943
3327,1439,8948
3301,1460,8943
3302,1465,8998
3272,1469,8990
3240,1493,9052
3240,1493,9052
3243,1585,9163
3471,1403,8849
3535,1319,8785
3551,1254,8684
3540,1263,8678
3595,1255,8675
3622,1258,8579
3680,1240,8522
3704,1302,8468
3755,1280,8405
3828,1293,8384
3808,1286,8374
3834,1289,8268
3909,1270,8238
3931,1255,8250
3903,1301,8224
3903,1301,8153
3956,1302,8153
3956,1363,8183
3986,1363,8183
4042,1364,8163
4062,1408,8131
4076,1461,8125
4131,1490,8132
4144,1509,8071
4181,1468,8061
4259,1490,7990
4277,1508,7907
4305,1526,7908
4266,1533,7937
4286,1555,7928
4286,1583,7916
4301,1583,7916
4328,1583,7926
4281,1617,7982
4306,1652,7885
4276,1640,7934
4422,1836,7898
4444,1851,7839
4506,1901,7893
4483,1894,7865
4498,1905,7795
4498,1940,7837
4460,1963,7830
4534,1974,7827
4553,2016,7795
4585,2067,7847
4585,2134,7847
4612,2160,7821
4659,2264,7830
4642,2348,7852
4668,2439,7835
4668,2439,7835
4670,2446,7842
4667,2466,7798
4683,2516,7816
4685,2545,7800
4701,2588,7832
4691,2622,7849
4682,2649,7851
4707,2708,7888
4690,2769,7960
4648,2820,7944
4671,2882,7981
4639,2956,8036
4605,2987,8099
4627,3012,8032
4618,2988,8079
4618,2988,8079
4602,3013,8108
4572,3007,8134
4590,3052,8131
4565,3098,8107
4524,3076,8139
4527,3102,8179
4532,3134,8211
4508,3171,8179
4507,3231,8282
4515,3273,8226
4490,3281,8248
4507,3228,8199
4547,3196,8190
4526,3125,8173
4537,3075,8118
4563,3037,8143
4597,3025,8137
4701,2647,7878
4681,2553,7864
4309,3424,8500
4302,3470,8536
4257,3468,8581
4226,3510,8595
4324,1856,8088
4345,1926,8062
4384,1956,8093
3917,2236,8871
3797,2145,8993
