X,Y,Z
2136,1547,9259
2136,1547,9259
2136,1547,9259
2136,1547,9259
2136,1547,9259
2136,1547,9259
2136,1547,9259
2136,1547,9259
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2159,1566,9312
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2165,1590,9320
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2216,1615,9302
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2192,1628,9345
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2256,1603,9332
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2137,1644,9356
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
2002,1675,9331
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1930,1685,9329
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1845,1686,9362
1803,1657,9335
1803,1657,9335
1803,1657,9335
1803,1657,9335
1803,1657,9335
1803,1657,9335
1803,1657,9335
1803,1657,9335
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1752,1640,9369
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1719,1627,9365
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1751,1634,9349
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1763,1614,9362
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1829,1643,9371
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1821,1642,9289
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1819,1619,9352
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1792,1622,9373
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1623,9352
1666,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
1379,1695,9383
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
913,1723,9287
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
451,1716,9130
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
153,1687,8936
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-289,1687,8745
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-599,1761,8487
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-924,1787,8218
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1159,1819,7911
-1431,1840,7480
-1431,1840,7480
-1431,1840,7480
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1597,1978,7166
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1673,1986,6990
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1724,1961,6739
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,2008,6538
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1755,1986,6572
-1686,1966,6818
-1686,1966,6818
-1686,1966,6818
-1686,1966,6818
-1686,1966,6818
-1686,1966,6818
-1686,1966,6818
