X,Y,Z
2384,1721,9321
2384,1721,9321
2384,1721,9321
2384,1721,9321
2384,1721,9321
2384,1721,9321
2384,1721,9321
2384,1721,9321
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2395,1712,9336
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2355,1686,9290
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2369,1702,9318
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2324,1667,9293
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2319,1623,9356
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2277,1552,9294
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2228,1493,9259
2136,1436,9278
2136,1436,9278
2136,1436,9278
2136,1436,9278
2136,1436,9278
2136,1436,9278
2136,1436,9278
2136,1436,9278
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2112,1476,9290
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2095,1444,9215
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2037,1441,9297
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2011,1460,9283
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
2028,1459,9295
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1998,1481,9305
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1887,1439,9308
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
1942,1479,9376
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2006,1539,9336
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2282,1550,9288
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2384,1572,9269
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2360,1553,9287
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2338,1565,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
2044,1537,9296
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1779,1512,9319
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
1890,1504,9356
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2301,1587,9289
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
2921,1681,9126
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3223,1709,9026
3477,1671,8873
3477,1671,8873
3477,1671,8873
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3732,1699,8731
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
3965,1719,8523
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4090,1732,8426
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4335,1737,8126
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4525,1697,7854
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4696,1737,7542
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4835,1779,7172
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4923,1789,6866
4948,1779,6754
4948,1779,6754
4948,1779,6754
4948,1779,6754
4948,1779,6754
4948,1779,6754
4948,1779,6754
4948,1779,6754
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5042,1802,6529
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5021,1794,6249
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5064,1842,6020
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5029,1858,5931
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
5035,1830,5994
