X,Y,Z
2097,1587,9336
2097,1587,9336
2097,1587,9336
2097,1587,9336
2097,1587,9336
2097,1587,9336
2097,1587,9336
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1588,9327
2150,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2145,1578,9347
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2150,1564,9358
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2156,1570,9359
2127,1568,9338
2127,1568,9338
2127,1568,9338
2127,1568,9338
2127,1568,9338
2127,1568,9338
2127,1568,9338
2127,1568,9338
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2161,1603,9356
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2168,1564,9386
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2114,1590,9360
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2124,1591,9333
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2139,1560,9340
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1570,9327
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2133,1584,9315
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2117,1536,9309
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2136,1580,9308
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2159,1580,9345
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2139,1581,9352
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2163,1551,9351
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2294,1569,9336
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2382,1617,9256
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2377,1634,9294
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2354,1673,9286
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2517,1721,9304
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2554,1879,9299
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2634,2009,9361
2642,2122,9391
2642,2122,9391
2642,2122,9391
2642,2122,9391
2642,2122,9391
2642,2122,9391
2642,2122,9391
2642,2122,9391
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2725,2159,9366
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2748,2186,9370
2694,2234,9397
2694,2234,9397
2694,2234,9397
2694,2234,9397
2694,2234,9397
2776,2285,9411
2776,2285,9411
2776,2285,9411
2776,2285,9411
2776,2285,9411
2776,2285,9411
2776,2285,9411
2776,2285,9411
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2842,2377,9398
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2867,2488,9380
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2902,2563,9378
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2946,2619,9388
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2927,2681,9356
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2949,2771,9372
2866,2851,9385
2866,2851,9385
2866,2851,9385
2866,2851,9385
2866,2851,9385
2866,2851,9385
2866,2851,9385
2866,2851,9385
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2870,2899,9440
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2773,2994,9439
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2791,3095,9424
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2738,3118,9389
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2705,3146,9441
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9486
2607,3184,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2517,3257,9479
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2459,3334,9485
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2320,3430,9484
2210,3412,9537
2210,3412,9537
2210,3412,9537
2210,3412,9537
2210,3412,9537
2210,3412,9537
2210,3412,9537
2210,3412,9537
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2204,3375,9532
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2225,3362,9523
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2198,3355,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2133,3516,9503
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2126,3610,9465
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2047,3653,9512
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2055,3684,9469
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
2064,3744,9484
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1987,3776,9468
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1870,3812,9462
1772,3904,9446
1772,3904,9446
1772,3904,9446
1772,3904,9446
1673,3982,9409
1673,3982,9409
1673,3982,9409
1673,3982,9409
1673,3982,9409
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1581,3968,9405
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1634,3707,9491
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1372,3530,9466
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1255,3484,9499
1026,3462,9430
1026,3462,9430
1026,3462,9430
1026,3462,9430
1026,3462,9430
1026,3462,9430
1026,3462,9430
1026,3462,9430
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
947,3475,9419
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
936,3519,9420
944,3532,9435
944,3532,9435
944,3532,9435
944,3532,9435
944,3532,9435
944,3532,9435
944,3532,9435
944,3532,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
1000,3485,9435
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
944,3505,9420
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
840,3485,9410
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
664,3457,9395
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
556,3385,9357
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
459,3295,9360
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
426,3290,9323
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
356,3251,9311
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
355,3201,9324
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
282,3128,9301
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
277,3022,9315
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
256,2872,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
304,2854,9277
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
245,2812,9283
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
304,2756,9295
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
227,2660,9287
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2581,9205
217,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
124,2387,9225
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
243,2396,9261
316,2505,9283
316,2505,9283
316,2505,9283
316,2505,9283
316,2505,9283
316,2505,9283
316,2505,9283
316,2505,9283
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
329,2574,9336
320,2482,9299
320,2482,9299
320,2482,9299
320,2482,9299
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
403,2305,9322
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
459,2099,9304
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
684,1972,9313
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
697,1823,9281
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
657,1685,9264
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
715,1661,9262
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
839,1614,9213
873,1588,9225
873,1588,9225
873,1588,9225
873,1588,9225
873,1588,9225
873,1588,9225
873,1588,9225
873,1588,9225
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
931,1586,9282
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
943,1552,9213
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1035,1495,9217
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1091,1475,9218
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1120,1519,9224
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1117,1471,9203
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1232,1434,9258
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1374,9209
1289,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1399,1322,9186
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1566,1262,9171
1611,1280,9174
1611,1280,9174
1611,1280,9174
1611,1280,9174
1611,1280,9174
1611,1280,9174
1611,1280,9174
1611,1280,9174
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1740,1331,9202
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1765,1386,9268
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1766,1348,9224
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1735,1353,9258
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1793,1440,9294
1730,1520,9293
1730,1520,9293
1730,1520,9293
1730,1520,9293
